corruption_type,severity_level_1_mildest_5_strongest,parameter_value,parameter_description
jpeg_compression,1,90,JPEG quality factor
jpeg_compression,2,70,JPEG quality factor
jpeg_compression,3,50,JPEG quality factor
jpeg_compression,4,30,JPEG quality factor
jpeg_compression,5,10,JPEG quality factor
gaussian_blur,1,3,Gaussian kernel size (px)
gaussian_blur,2,5,Gaussian kernel size (px)
gaussian_blur,3,7,Gaussian kernel size (px)
gaussian_blur,4,9,Gaussian kernel size (px)
gaussian_blur,5,11,Gaussian kernel size (px)
gaussian_noise,1,0.01,noise sigma (fraction of 255)
gaussian_noise,2,0.03,noise sigma (fraction of 255)
gaussian_noise,3,0.05,noise sigma (fraction of 255)
gaussian_noise,4,0.08,noise sigma (fraction of 255)
gaussian_noise,5,0.12,noise sigma (fraction of 255)
contrast,1,0.5,contrast factor
contrast,2,0.7,contrast factor
contrast,3,0.85,contrast factor
contrast,4,1.3,contrast factor
contrast,5,1.5,contrast factor
brightness,1,0.5,brightness factor
brightness,2,0.7,brightness factor
brightness,3,0.85,brightness factor
brightness,4,1.3,brightness factor
brightness,5,1.5,brightness factor
rotation,1,-5,"rotation angle (deg, +/- direction)"
rotation,2,10,"rotation angle (deg, +/- direction)"
rotation,3,-15,"rotation angle (deg, +/- direction)"
rotation,4,20,"rotation angle (deg, +/- direction)"
rotation,5,-25,"rotation angle (deg, +/- direction)"
