dataset,model,metric,point,ci_low,ci_high
handpd_meander,efficientnet_b0,accuracy,0.8333,0.7593,0.8981
handpd_meander,efficientnet_b0,balanced_accuracy,0.8205,0.7167,0.9111
handpd_meander,efficientnet_b0,auc,0.8233,0.6691,0.9462
handpd_meander,mobilenet_v3_large,accuracy,0.7593,0.6759,0.8426
handpd_meander,mobilenet_v3_large,balanced_accuracy,0.775,0.6716,0.8726
handpd_meander,mobilenet_v3_large,auc,0.8352,0.6945,0.9561
handpd_meander,resnet50,accuracy,0.8519,0.787,0.9167
handpd_meander,resnet50,balanced_accuracy,0.7932,0.6807,0.8875
handpd_meander,resnet50,auc,0.8574,0.7406,0.9509
handpd_meander,vgg16,accuracy,0.8981,0.8333,0.9537
handpd_meander,vgg16,balanced_accuracy,0.8602,0.7617,0.9452
handpd_meander,vgg16,auc,0.8568,0.7401,0.9504
handpd_spiral,efficientnet_b0,accuracy,0.8426,0.7685,0.9074
handpd_spiral,efficientnet_b0,balanced_accuracy,0.9034,0.8598,0.9432
handpd_spiral,efficientnet_b0,auc,0.9778,0.9498,0.9958
handpd_spiral,mobilenet_v3_large,accuracy,0.8704,0.8056,0.9259
handpd_spiral,mobilenet_v3_large,balanced_accuracy,0.8432,0.7426,0.9321
handpd_spiral,mobilenet_v3_large,auc,0.9443,0.8954,0.9815
handpd_spiral,resnet50,accuracy,0.8796,0.8148,0.9352
handpd_spiral,resnet50,balanced_accuracy,0.8875,0.8065,0.9524
handpd_spiral,resnet50,auc,0.9716,0.9379,0.9943
handpd_spiral,vgg16,accuracy,0.8889,0.8241,0.9444
handpd_spiral,vgg16,balanced_accuracy,0.8159,0.7021,0.9171
handpd_spiral,vgg16,auc,0.9165,0.8367,0.9758
pdraw_spiral,efficientnet_b0,accuracy,0.7667,0.6,0.9
pdraw_spiral,efficientnet_b0,balanced_accuracy,0.7667,0.6076,0.9167
pdraw_spiral,efficientnet_b0,auc,0.8667,0.7268,0.9777
pdraw_spiral,mobilenet_v3_large,accuracy,0.8,0.6667,0.9333
pdraw_spiral,mobilenet_v3_large,balanced_accuracy,0.8,0.6428,0.9318
pdraw_spiral,mobilenet_v3_large,auc,0.9244,0.8178,0.9955
pdraw_spiral,resnet50,accuracy,0.7333,0.5667,0.9
pdraw_spiral,resnet50,balanced_accuracy,0.7333,0.6071,0.8636
pdraw_spiral,resnet50,auc,0.9244,0.8169,0.9955
pdraw_spiral,vgg16,accuracy,0.7333,0.5667,0.8675
pdraw_spiral,vgg16,balanced_accuracy,0.7333,0.6111,0.8636
pdraw_spiral,vgg16,auc,0.8178,0.6425,0.9554
pdraw_wave,efficientnet_b0,accuracy,0.7333,0.5667,0.9
pdraw_wave,efficientnet_b0,balanced_accuracy,0.7333,0.5804,0.8824
pdraw_wave,efficientnet_b0,auc,0.9378,0.8258,1.0
pdraw_wave,mobilenet_v3_large,accuracy,0.9,0.7667,1.0
pdraw_wave,mobilenet_v3_large,balanced_accuracy,0.9,0.7768,1.0
pdraw_wave,mobilenet_v3_large,auc,0.9289,0.8038,1.0
pdraw_wave,resnet50,accuracy,0.8,0.6333,0.9333
pdraw_wave,resnet50,balanced_accuracy,0.8,0.65,0.9321
pdraw_wave,resnet50,auc,0.9067,0.7778,0.991
pdraw_wave,vgg16,accuracy,0.9,0.8,1.0
pdraw_wave,vgg16,balanced_accuracy,0.9,0.7873,1.0
pdraw_wave,vgg16,auc,0.8978,0.7416,1.0
