dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
handpd_meander,resnet50,clean,clean,0,,108,0.8518518518518519,0.7931818181818182,0.9285714285714286,0.8863636363636364,0.7,0.9069767441860465,0.8573863636363637,78,6,14,10
handpd_meander,resnet50,corrupted,jpeg_compression,1,90,108,0.7962962962962963,0.7784090909090908,0.9342105263157895,0.8068181818181818,0.75,0.8658536585365854,0.8607954545454546,71,5,15,17
handpd_meander,resnet50,corrupted,jpeg_compression,2,70,108,0.7407407407407407,0.7443181818181819,0.9285714285714286,0.7386363636363636,0.75,0.8227848101265823,0.85625,65,5,15,23
handpd_meander,resnet50,corrupted,jpeg_compression,3,50,108,0.75,0.75,0.9295774647887324,0.75,0.75,0.8301886792452831,0.8528409090909091,66,5,15,22
handpd_meander,resnet50,corrupted,jpeg_compression,4,30,108,0.7222222222222222,0.7522727272727273,0.9393939393939394,0.7045454545454546,0.8,0.8051948051948052,0.8619318181818182,62,4,16,26
handpd_meander,resnet50,corrupted,jpeg_compression,5,10,108,0.7222222222222222,0.7329545454545454,0.9264705882352942,0.7159090909090909,0.75,0.8076923076923077,0.8539772727272728,63,5,15,25
handpd_meander,resnet50,corrupted,gaussian_blur,1,3,108,0.8425925925925926,0.7875,0.927710843373494,0.875,0.7,0.9005847953216374,0.853409090909091,77,6,14,11
handpd_meander,resnet50,corrupted,gaussian_blur,2,5,108,0.8518518518518519,0.7931818181818182,0.9285714285714286,0.8863636363636364,0.7,0.9069767441860465,0.8534090909090909,78,6,14,10
handpd_meander,resnet50,corrupted,gaussian_blur,3,7,108,0.8611111111111112,0.7795454545454545,0.9195402298850575,0.9090909090909091,0.65,0.9142857142857143,0.8482954545454545,80,7,13,8
handpd_meander,resnet50,corrupted,gaussian_blur,4,9,108,0.8611111111111112,0.7795454545454545,0.9195402298850575,0.9090909090909091,0.65,0.9142857142857143,0.8517045454545454,80,7,13,8
handpd_meander,resnet50,corrupted,gaussian_blur,5,11,108,0.8981481481481481,0.8022727272727272,0.9230769230769231,0.9545454545454546,0.65,0.9385474860335196,0.8602272727272727,84,7,13,4
handpd_meander,resnet50,corrupted,gaussian_noise,1,0.01,108,0.8518518518518519,0.7931818181818182,0.9285714285714286,0.8863636363636364,0.7,0.9069767441860465,0.8551136363636364,78,6,14,10
handpd_meander,resnet50,corrupted,gaussian_noise,2,0.03,108,0.8518518518518519,0.8125,0.9390243902439024,0.875,0.75,0.9058823529411765,0.8715909090909091,77,5,15,11
handpd_meander,resnet50,corrupted,gaussian_noise,3,0.05,108,0.8703703703703703,0.8238636363636364,0.9404761904761905,0.8977272727272727,0.75,0.9186046511627907,0.8829545454545454,79,5,15,9
handpd_meander,resnet50,corrupted,gaussian_noise,4,0.08,108,0.8611111111111112,0.7988636363636363,0.9294117647058824,0.8977272727272727,0.7,0.9132947976878613,0.8880681818181819,79,6,14,9
handpd_meander,resnet50,corrupted,gaussian_noise,5,0.12,108,0.8703703703703703,0.8045454545454545,0.9302325581395349,0.9090909090909091,0.7,0.9195402298850575,0.8852272727272728,80,6,14,8
handpd_meander,resnet50,corrupted,contrast,1,0.5,108,0.7685185185185185,0.7613636363636364,0.9315068493150684,0.7727272727272727,0.75,0.84472049689441,0.8670454545454546,68,5,15,20
handpd_meander,resnet50,corrupted,contrast,2,0.7,108,0.7777777777777778,0.7670454545454546,0.9324324324324325,0.7840909090909091,0.75,0.8518518518518519,0.8727272727272727,69,5,15,19
handpd_meander,resnet50,corrupted,contrast,3,0.85,108,0.8148148148148148,0.7897727272727273,0.9358974358974359,0.8295454545454546,0.75,0.8795180722891566,0.8693181818181819,73,5,15,15
handpd_meander,resnet50,corrupted,contrast,4,1.3,108,0.8981481481481481,0.821590909090909,0.9325842696629213,0.9431818181818182,0.7,0.9378531073446328,0.8602272727272728,83,6,14,5
handpd_meander,resnet50,corrupted,contrast,5,1.5,108,0.8981481481481481,0.821590909090909,0.9325842696629213,0.9431818181818182,0.7,0.9378531073446328,0.8642045454545455,83,6,14,5
handpd_meander,resnet50,corrupted,brightness,1,0.5,108,0.8055555555555556,0.7840909090909092,0.935064935064935,0.8181818181818182,0.75,0.8727272727272727,0.8534090909090909,72,5,15,16
handpd_meander,resnet50,corrupted,brightness,2,0.7,108,0.8148148148148148,0.7704545454545455,0.925,0.8409090909090909,0.7,0.8809523809523809,0.8568181818181818,74,6,14,14
handpd_meander,resnet50,corrupted,brightness,3,0.85,108,0.8240740740740741,0.7761363636363636,0.9259259259259259,0.8522727272727273,0.7,0.8875739644970414,0.859659090909091,75,6,14,13
handpd_meander,resnet50,corrupted,brightness,4,1.3,108,0.6388888888888888,0.7011363636363637,0.9298245614035088,0.6022727272727273,0.8,0.7310344827586207,0.8318181818181819,53,4,16,35
handpd_meander,resnet50,corrupted,brightness,5,1.5,108,0.6388888888888888,0.7011363636363637,0.9298245614035088,0.6022727272727273,0.8,0.7310344827586207,0.834659090909091,53,4,16,35
handpd_meander,resnet50,corrupted,rotation,1,-5,108,0.7037037037037037,0.740909090909091,0.9375,0.6818181818181818,0.8,0.7894736842105263,0.8767045454545455,60,4,16,28
handpd_meander,resnet50,corrupted,rotation,2,10,108,0.6296296296296297,0.7340909090909091,0.9615384615384616,0.5681818181818182,0.9,0.7142857142857143,0.8818181818181818,50,2,18,38
handpd_meander,resnet50,corrupted,rotation,3,-15,108,0.6574074074074074,0.7511363636363637,0.9636363636363636,0.6022727272727273,0.9,0.7412587412587412,0.8664772727272727,53,2,18,35
handpd_meander,resnet50,corrupted,rotation,4,20,108,0.5648148148148148,0.7329545454545454,1.0,0.4659090909090909,1.0,0.6356589147286822,0.8857954545454546,41,0,20,47
handpd_meander,resnet50,corrupted,rotation,5,-25,108,0.5925925925925926,0.6920454545454545,0.94,0.5340909090909091,0.85,0.6811594202898551,0.8892045454545454,47,3,17,41
handpd_meander,vgg16,clean,clean,0,,108,0.8981481481481481,0.8602272727272727,0.9529411764705882,0.9204545454545454,0.8,0.9364161849710982,0.8568181818181818,81,4,16,7
