dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
handpd_spiral,resnet50,clean,clean,0,,108,0.8888888888888888,0.9125,0.9871794871794872,0.875,0.95,0.927710843373494,0.9772727272727273,77,1,19,11
handpd_spiral,resnet50,corrupted,jpeg_compression,1,90,108,0.8611111111111112,0.9147727272727273,1.0,0.8295454545454546,1.0,0.906832298136646,0.9795454545454546,73,0,20,15
handpd_spiral,resnet50,corrupted,jpeg_compression,2,70,108,0.8425925925925926,0.884090909090909,0.9863013698630136,0.8181818181818182,0.95,0.8944099378881988,0.9710227272727272,72,1,19,16
handpd_spiral,resnet50,corrupted,jpeg_compression,3,50,108,0.8425925925925926,0.9034090909090908,1.0,0.8068181818181818,1.0,0.8930817610062893,0.9590909090909091,71,0,20,17
handpd_spiral,resnet50,corrupted,jpeg_compression,4,30,108,0.8055555555555556,0.8806818181818181,1.0,0.7613636363636364,1.0,0.864516129032258,0.9676136363636364,67,0,20,21
handpd_spiral,resnet50,corrupted,jpeg_compression,5,10,108,0.6944444444444444,0.8125,1.0,0.625,1.0,0.7692307692307693,0.9613636363636364,55,0,20,33
handpd_spiral,resnet50,corrupted,gaussian_blur,1,3,108,0.8425925925925926,0.9034090909090908,1.0,0.8068181818181818,1.0,0.8930817610062893,0.9818181818181818,71,0,20,17
handpd_spiral,resnet50,corrupted,gaussian_blur,2,5,108,0.7870370370370371,0.8693181818181819,1.0,0.7386363636363636,1.0,0.8496732026143791,0.9840909090909091,65,0,20,23
handpd_spiral,resnet50,corrupted,gaussian_blur,3,7,108,0.7407407407407407,0.8409090909090908,1.0,0.6818181818181818,1.0,0.8108108108108109,0.9823863636363637,60,0,20,28
handpd_spiral,resnet50,corrupted,gaussian_blur,4,9,108,0.6851851851851852,0.8068181818181819,1.0,0.6136363636363636,1.0,0.7605633802816901,0.9784090909090909,54,0,20,34
handpd_spiral,resnet50,corrupted,gaussian_blur,5,11,108,0.6574074074074074,0.7897727272727273,1.0,0.5795454545454546,1.0,0.7338129496402878,0.9755681818181818,51,0,20,37
