dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
handpd_meander,resnet50,clean,clean,0,,108,0.8518518518518519,0.7931818181818182,0.9285714285714286,0.8863636363636364,0.7,0.9069767441860465,0.8573863636363637,78,6,14,10
handpd_meander,resnet50,corrupted,jpeg_compression,1,90,108,0.7870370370370371,0.7727272727272727,0.9333333333333333,0.7954545454545454,0.75,0.8588957055214724,0.8607954545454546,70,5,15,18
handpd_meander,resnet50,corrupted,jpeg_compression,2,70,108,0.7407407407407407,0.7443181818181819,0.9285714285714286,0.7386363636363636,0.75,0.8227848101265823,0.85625,65,5,15,23
handpd_meander,resnet50,corrupted,jpeg_compression,3,50,108,0.75,0.75,0.9295774647887324,0.75,0.75,0.8301886792452831,0.8528409090909091,66,5,15,22
handpd_meander,resnet50,corrupted,jpeg_compression,4,30,108,0.7222222222222222,0.7522727272727273,0.9393939393939394,0.7045454545454546,0.8,0.8051948051948052,0.8619318181818182,62,4,16,26
handpd_meander,resnet50,corrupted,jpeg_compression,5,10,108,0.7222222222222222,0.7329545454545454,0.9264705882352942,0.7159090909090909,0.75,0.8076923076923077,0.853409090909091,63,5,15,25
handpd_meander,resnet50,corrupted,gaussian_blur,1,3,108,0.8425925925925926,0.7875,0.927710843373494,0.875,0.7,0.9005847953216374,0.853409090909091,77,6,14,11
handpd_meander,resnet50,corrupted,gaussian_blur,2,5,108,0.8518518518518519,0.7931818181818182,0.9285714285714286,0.8863636363636364,0.7,0.9069767441860465,0.852840909090909,78,6,14,10
handpd_meander,resnet50,corrupted,gaussian_blur,3,7,108,0.8611111111111112,0.7795454545454545,0.9195402298850575,0.9090909090909091,0.65,0.9142857142857143,0.8482954545454545,80,7,13,8
handpd_meander,resnet50,corrupted,gaussian_blur,4,9,108,0.8611111111111112,0.7795454545454545,0.9195402298850575,0.9090909090909091,0.65,0.9142857142857143,0.8517045454545454,80,7,13,8
handpd_meander,resnet50,corrupted,gaussian_blur,5,11,108,0.8981481481481481,0.8022727272727272,0.9230769230769231,0.9545454545454546,0.65,0.9385474860335196,0.8599431818181819,84,7,13,4
handpd_meander,resnet50,corrupted,gaussian_noise,1,0.01,108,0.8425925925925926,0.7875,0.927710843373494,0.875,0.7,0.9005847953216374,0.8545454545454545,77,6,14,11
handpd_meander,resnet50,corrupted,gaussian_noise,2,0.03,108,0.8518518518518519,0.8125,0.9390243902439024,0.875,0.75,0.9058823529411765,0.8698863636363637,77,5,15,11
