dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
pdraw_spiral,resnet50,clean,clean,0,,30,0.7333333333333333,0.7333333333333334,0.6521739130434783,1.0,0.4666666666666667,0.7894736842105263,0.9244444444444445,15,8,7,0
pdraw_spiral,resnet50,corrupted,jpeg_compression,1,90,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9111111111111111,15,10,5,0
pdraw_spiral,resnet50,corrupted,jpeg_compression,2,70,30,0.6,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143,0.8977777777777778,15,12,3,0
pdraw_spiral,resnet50,corrupted,jpeg_compression,3,50,30,0.6,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143,0.9066666666666666,15,12,3,0
pdraw_spiral,resnet50,corrupted,jpeg_compression,4,30,30,0.5666666666666667,0.5666666666666667,0.5357142857142857,1.0,0.13333333333333333,0.6976744186046512,0.9377777777777778,15,13,2,0
pdraw_spiral,resnet50,corrupted,jpeg_compression,5,10,30,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.9422222222222223,15,15,0,0
pdraw_spiral,resnet50,corrupted,gaussian_blur,1,3,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9288888888888889,15,7,8,0
pdraw_spiral,resnet50,corrupted,gaussian_blur,2,5,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9288888888888889,15,10,5,0
pdraw_spiral,resnet50,corrupted,gaussian_blur,3,7,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9244444444444445,15,10,5,0
pdraw_spiral,resnet50,corrupted,gaussian_blur,4,9,30,0.6333333333333333,0.6333333333333333,0.5769230769230769,1.0,0.26666666666666666,0.7317073170731707,0.9111111111111111,15,11,4,0
pdraw_spiral,resnet50,corrupted,gaussian_blur,5,11,30,0.6,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143,0.9155555555555556,15,12,3,0
pdraw_spiral,resnet50,corrupted,gaussian_noise,1,0.01,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.92,15,7,8,0
pdraw_spiral,resnet50,corrupted,gaussian_noise,2,0.03,30,0.7333333333333333,0.7333333333333334,0.6521739130434783,1.0,0.4666666666666667,0.7894736842105263,0.9600000000000001,15,8,7,0
pdraw_spiral,resnet50,corrupted,gaussian_noise,3,0.05,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9511111111111111,15,10,5,0
pdraw_spiral,resnet50,corrupted,gaussian_noise,4,0.08,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9288888888888889,15,10,5,0
pdraw_spiral,resnet50,corrupted,gaussian_noise,5,0.12,30,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3333333333333333,0.75,0.9244444444444445,15,10,5,0
pdraw_spiral,resnet50,corrupted,contrast,1,0.5,30,0.7666666666666667,0.7666666666666666,0.7,0.9333333333333333,0.6,0.8,0.9288888888888889,14,6,9,1
pdraw_spiral,resnet50,corrupted,contrast,2,0.7,30,0.8,0.8,0.7142857142857143,1.0,0.6,0.8333333333333334,0.92,15,6,9,0
pdraw_spiral,resnet50,corrupted,contrast,3,0.85,30,0.8,0.8,0.7142857142857143,1.0,0.6,0.8333333333333334,0.92,15,6,9,0
pdraw_spiral,resnet50,corrupted,contrast,4,1.3,30,0.7,0.7,0.625,1.0,0.4,0.7692307692307693,0.9155555555555557,15,9,6,0
pdraw_spiral,resnet50,corrupted,contrast,5,1.5,30,0.7,0.7,0.625,1.0,0.4,0.7692307692307693,0.8933333333333334,15,9,6,0
pdraw_spiral,resnet50,corrupted,brightness,1,0.5,30,0.8,0.8,0.7142857142857143,1.0,0.6,0.8333333333333334,0.9333333333333333,15,6,9,0
pdraw_spiral,resnet50,corrupted,brightness,2,0.7,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9244444444444445,15,7,8,0
pdraw_spiral,resnet50,corrupted,brightness,3,0.85,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9333333333333333,15,7,8,0
pdraw_spiral,resnet50,corrupted,brightness,4,1.3,30,0.5666666666666667,0.5666666666666667,0.5357142857142857,1.0,0.13333333333333333,0.6976744186046512,0.8933333333333333,15,13,2,0
pdraw_spiral,resnet50,corrupted,brightness,5,1.5,30,0.6333333333333333,0.6333333333333333,0.5833333333333334,0.9333333333333333,0.3333333333333333,0.717948717948718,0.8666666666666666,14,10,5,1
pdraw_spiral,resnet50,corrupted,shadow,1,0.85,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9377777777777778,15,7,8,0
pdraw_spiral,resnet50,corrupted,shadow,2,0.7,30,0.7,0.7,0.625,1.0,0.4,0.7692307692307693,0.9333333333333333,15,9,6,0
pdraw_spiral,resnet50,corrupted,shadow,3,0.55,30,0.6,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143,0.9155555555555556,15,12,3,0
pdraw_spiral,resnet50,corrupted,shadow,4,0.42,30,0.5333333333333333,0.5333333333333333,0.5172413793103449,1.0,0.06666666666666667,0.6818181818181818,0.9155555555555556,15,14,1,0
pdraw_spiral,resnet50,corrupted,shadow,5,0.3,30,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.8933333333333333,15,15,0,0
pdraw_spiral,resnet50,corrupted,perspective,1,0.02,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9288888888888889,15,7,8,0
pdraw_spiral,resnet50,corrupted,perspective,2,0.04,30,0.7333333333333333,0.7333333333333334,0.6521739130434783,1.0,0.4666666666666667,0.7894736842105263,0.9111111111111111,15,8,7,0
pdraw_spiral,resnet50,corrupted,perspective,3,0.06,30,0.7333333333333333,0.7333333333333334,0.6521739130434783,1.0,0.4666666666666667,0.7894736842105263,0.9155555555555556,15,8,7,0
pdraw_spiral,resnet50,corrupted,perspective,4,0.08,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9288888888888889,15,7,8,0
pdraw_spiral,resnet50,corrupted,perspective,5,0.1,30,0.7,0.7,0.625,1.0,0.4,0.7692307692307693,0.9066666666666666,15,9,6,0
pdraw_spiral,resnet50,corrupted,rotation,1,-5,30,0.7666666666666667,0.7666666666666666,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.9244444444444444,15,7,8,0
