dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
pdraw_wave,resnet50,clean,clean,0,,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9288888888888889,12,0,15,3
pdraw_wave,resnet50,corrupted,jpeg_compression,1,90,30,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.7333333333333333,0.9333333333333333,0.8148148148148148,0.9155555555555555,11,1,14,4
pdraw_wave,resnet50,corrupted,jpeg_compression,2,70,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.92,12,0,15,3
pdraw_wave,resnet50,corrupted,jpeg_compression,3,50,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9422222222222223,12,1,14,3
pdraw_wave,resnet50,corrupted,jpeg_compression,4,30,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9288888888888889,12,0,15,3
pdraw_wave,resnet50,corrupted,jpeg_compression,5,10,30,0.8666666666666667,0.8666666666666667,1.0,0.7333333333333333,1.0,0.8461538461538461,0.9688888888888889,11,0,15,4
pdraw_wave,resnet50,corrupted,gaussian_blur,1,3,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9377777777777778,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_blur,2,5,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9377777777777778,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_blur,3,7,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.928888888888889,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_blur,4,9,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9155555555555557,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_blur,5,11,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.92,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_noise,1,0.01,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9377777777777778,12,1,14,3
pdraw_wave,resnet50,corrupted,gaussian_noise,2,0.03,30,0.9,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.928888888888889,13,1,14,2
pdraw_wave,resnet50,corrupted,gaussian_noise,3,0.05,30,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.9066666666666667,12,2,13,3
pdraw_wave,resnet50,corrupted,gaussian_noise,4,0.08,30,0.8333333333333334,0.8333333333333334,0.8125,0.8666666666666667,0.8,0.8387096774193549,0.9333333333333333,13,3,12,2
pdraw_wave,resnet50,corrupted,gaussian_noise,5,0.12,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9200000000000002,12,0,15,3
pdraw_wave,resnet50,corrupted,contrast,1,0.5,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9244444444444445,12,0,15,3
pdraw_wave,resnet50,corrupted,contrast,2,0.7,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9377777777777778,12,0,15,3
pdraw_wave,resnet50,corrupted,contrast,3,0.85,30,0.9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9288888888888889,12,0,15,3
pdraw_wave,resnet50,corrupted,contrast,4,1.3,30,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.9111111111111111,12,2,13,3
pdraw_wave,resnet50,corrupted,contrast,5,1.5,30,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.9155555555555556,12,1,14,3
pdraw_wave,resnet50,corrupted,brightness,1,0.5,30,0.8666666666666667,0.8666666666666667,1.0,0.7333333333333333,1.0,0.8461538461538461,0.9022222222222223,11,0,15,4
pdraw_wave,resnet50,corrupted,brightness,2,0.7,30,0.8666666666666667,0.8666666666666667,1.0,0.7333333333333333,1.0,0.8461538461538461,0.9111111111111112,11,0,15,4
pdraw_wave,resnet50,corrupted,brightness,3,0.85,30,0.8666666666666667,0.8666666666666667,1.0,0.7333333333333333,1.0,0.8461538461538461,0.92,11,0,15,4
pdraw_wave,resnet50,corrupted,brightness,4,1.3,30,0.8,0.8,1.0,0.6,1.0,0.75,0.9111111111111112,9,0,15,6
