dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
handpd_meander,resnet50,0305-8,0,jpeg_compression,1,0.9758,0.9706,0.9113,0.7633
handpd_meander,resnet50,0305-8,0,jpeg_compression,2,0.8765,0.8282,0.6894,0.6256
handpd_meander,resnet50,0305-8,0,jpeg_compression,3,0.8714,0.7968,0.7265,0.6663
handpd_meander,resnet50,0305-8,0,jpeg_compression,4,0.7485,0.642,0.609,0.5842
handpd_meander,resnet50,0305-8,0,jpeg_compression,5,0.4628,0.3878,0.5088,0.2923
handpd_meander,resnet50,0305-8,0,gaussian_blur,1,0.9919,0.9857,0.9682,0.8929
handpd_meander,resnet50,0305-8,0,gaussian_blur,2,0.9687,0.9489,0.9133,0.7722
handpd_meander,resnet50,0305-8,0,gaussian_blur,3,0.9118,0.8918,0.8658,0.6632
handpd_meander,resnet50,0305-8,0,gaussian_blur,4,0.83,0.8168,0.8086,0.5247
handpd_meander,resnet50,0305-8,0,gaussian_blur,5,0.7597,0.7596,0.7649,0.434
handpd_meander,resnet50,0305-8,0,gaussian_noise,1,0.9963,0.9966,0.9892,0.93
handpd_meander,resnet50,0305-8,0,gaussian_noise,2,0.9526,0.9187,0.8524,0.747
handpd_meander,resnet50,0305-8,0,gaussian_noise,3,0.9094,0.8752,0.8327,0.6292
handpd_meander,resnet50,0305-8,0,gaussian_noise,4,0.8344,0.757,0.7242,0.574
handpd_meander,resnet50,0305-8,0,gaussian_noise,5,0.7389,0.6675,0.7126,0.5452
handpd_meander,resnet50,0305-8,0,contrast,1,0.7218,0.6887,0.6189,0.5388
handpd_meander,resnet50,0305-8,0,contrast,2,0.891,0.8252,0.7629,0.692
handpd_meander,resnet50,0305-8,0,contrast,3,0.9704,0.9541,0.9049,0.7953
handpd_meander,resnet50,0305-8,0,contrast,4,0.9614,0.9568,0.9155,0.8401
handpd_meander,resnet50,0305-8,0,contrast,5,0.9416,0.938,0.8979,0.7813
handpd_meander,resnet50,0305-8,0,brightness,1,0.8935,0.8624,0.7473,0.7208
handpd_meander,resnet50,0305-8,0,brightness,2,0.9504,0.9418,0.8322,0.8114
handpd_meander,resnet50,0305-8,0,brightness,3,0.9799,0.9761,0.8948,0.8673
handpd_meander,resnet50,0305-8,0,brightness,4,0.5123,0.7216,0.4649,0.439
handpd_meander,resnet50,0305-8,0,brightness,5,0.5402,0.7272,0.4713,0.4937
handpd_meander,resnet50,0305-8,0,shadow,1,0.993,0.9887,0.9175,0.9455
handpd_meander,resnet50,0305-8,0,shadow,2,0.9705,0.9708,0.8443,0.8163
handpd_meander,resnet50,0305-8,0,shadow,3,0.9522,0.9444,0.7713,0.7888
handpd_meander,resnet50,0305-8,0,shadow,4,0.9345,0.9195,0.7017,0.8216
handpd_meander,resnet50,0305-8,0,shadow,5,0.9259,0.8962,0.6149,0.8443
handpd_meander,resnet50,0305-8,0,perspective,1,0.6179,0.5654,0.6429,0.5042
handpd_meander,resnet50,0305-8,0,perspective,2,0.5086,0.4943,0.6794,0.2545
handpd_meander,resnet50,0305-8,0,perspective,3,0.5474,0.5136,0.7083,0.3392
handpd_meander,resnet50,0305-8,0,perspective,4,0.5162,0.559,0.6874,0.2433
handpd_meander,resnet50,0305-8,0,perspective,5,0.1363,0.1271,0.4741,0.1192
handpd_meander,resnet50,0305-8,0,rotation,1,0.714,0.6317,0.609,0.4722
handpd_meander,resnet50,0305-8,0,rotation,2,0.2234,0.0805,0.2803,0.2732
handpd_meander,resnet50,0305-8,0,rotation,3,0.3167,0.4698,0.2437,0.1816
handpd_meander,resnet50,0305-8,0,rotation,4,0.0847,0.1932,0.1004,0.2335
handpd_meander,resnet50,0305-8,0,rotation,5,0.1323,0.3167,0.2403,0.1182
handpd_meander,resnet50,0102-6,0,jpeg_compression,1,0.9783,0.8973,0.9077,0.831
handpd_meander,resnet50,0102-6,0,jpeg_compression,2,0.9205,0.7352,0.8476,0.6059
handpd_meander,resnet50,0102-6,0,jpeg_compression,3,0.8563,0.5974,0.7821,0.3498
handpd_meander,resnet50,0102-6,0,jpeg_compression,4,0.7991,0.522,0.7349,0.3497
handpd_meander,resnet50,0102-6,0,jpeg_compression,5,-0.089,-0.262,0.5831,0.0611
handpd_meander,resnet50,0102-6,0,gaussian_blur,1,0.9804,0.9397,0.928,0.8388
handpd_meander,resnet50,0102-6,0,gaussian_blur,2,0.9005,0.7055,0.7804,0.5746
handpd_meander,resnet50,0102-6,0,gaussian_blur,3,0.6906,0.3967,0.6096,0.2994
handpd_meander,resnet50,0102-6,0,gaussian_blur,4,0.5901,0.3705,0.5949,0.322
handpd_meander,resnet50,0102-6,0,gaussian_blur,5,0.4144,0.2322,0.4506,0.2433
handpd_meander,resnet50,0102-6,0,gaussian_noise,1,0.9689,0.9956,0.9484,0.8231
handpd_meander,resnet50,0102-6,0,gaussian_noise,2,0.8597,0.9518,0.8464,0.5824
handpd_meander,resnet50,0102-6,0,gaussian_noise,3,0.8871,0.886,0.8191,0.5233
handpd_meander,resnet50,0102-6,0,gaussian_noise,4,0.7654,0.7024,0.7483,0.5055
handpd_meander,resnet50,0102-6,0,gaussian_noise,5,0.5596,0.4445,0.3902,0.2923
handpd_meander,resnet50,0102-6,0,contrast,1,0.5335,0.4796,0.7009,0.5054
handpd_meander,resnet50,0102-6,0,contrast,2,0.8732,0.7709,0.8207,0.6942
handpd_meander,resnet50,0102-6,0,contrast,3,0.981,0.9028,0.9363,0.8902
handpd_meander,resnet50,0102-6,0,contrast,4,0.814,0.8413,0.6497,0.5736
handpd_meander,resnet50,0102-6,0,contrast,5,0.6872,0.8122,0.6032,0.5037
handpd_meander,resnet50,0102-6,0,brightness,1,0.5071,0.47,0.5922,0.3267
handpd_meander,resnet50,0102-6,0,brightness,2,0.5919,0.6322,0.7262,0.5203
handpd_meander,resnet50,0102-6,0,brightness,3,0.6732,0.7626,0.8206,0.6965
handpd_meander,resnet50,0102-6,0,brightness,4,-0.0993,-0.262,0.571,0.08
handpd_meander,resnet50,0102-6,0,brightness,5,-0.094,-0.262,0.5729,0.08
handpd_meander,resnet50,0102-6,0,shadow,1,0.821,0.8758,0.8416,0.727
handpd_meander,resnet50,0102-6,0,shadow,2,0.6106,0.6033,0.687,0.4092
handpd_meander,resnet50,0102-6,0,shadow,3,0.4328,0.5985,0.6411,0.3897
handpd_meander,resnet50,0102-6,0,shadow,4,0.3805,0.5417,0.5909,0.3994
handpd_meander,resnet50,0102-6,0,shadow,5,0.2882,0.4767,0.5247,0.2919
handpd_meander,resnet50,0102-6,0,perspective,1,0.7865,0.5586,0.6657,0.3494
handpd_meander,resnet50,0102-6,0,perspective,2,0.7136,0.4857,0.7187,0.4165
handpd_meander,resnet50,0102-6,0,perspective,3,0.4753,0.3661,0.5172,0.2662
handpd_meander,resnet50,0102-6,0,perspective,4,0.2086,0.248,0.5107,0.2192
handpd_meander,resnet50,0102-6,0,perspective,5,0.0828,0.1194,0.4467,0.1915
handpd_meander,resnet50,0102-6,0,rotation,1,nan,nan,0.6692,0.0872
handpd_meander,resnet50,0102-6,0,rotation,2,-0.0686,0.0124,0.5112,0.1431
handpd_meander,resnet50,0102-6,0,rotation,3,-0.0897,-0.1406,0.5579,0.0659
handpd_meander,resnet50,0102-6,0,rotation,4,-0.1236,-0.1292,0.5526,0.0638
handpd_meander,resnet50,0102-6,0,rotation,5,-0.0761,-0.0367,0.4796,0.0787
handpd_meander,resnet50,0297-7,0,jpeg_compression,1,0.9629,0.9722,0.8914,0.6774
handpd_meander,resnet50,0297-7,0,jpeg_compression,2,0.9244,0.9259,0.8261,0.5592
handpd_meander,resnet50,0297-7,0,jpeg_compression,3,0.8816,0.8743,0.776,0.5255
handpd_meander,resnet50,0297-7,0,jpeg_compression,4,0.763,0.7498,0.5253,0.3639
handpd_meander,resnet50,0297-7,0,jpeg_compression,5,0.8776,0.8089,0.7113,0.5081
handpd_meander,resnet50,0297-7,0,gaussian_blur,1,0.992,0.9908,0.964,0.9107
handpd_meander,resnet50,0297-7,0,gaussian_blur,2,0.9802,0.9704,0.9329,0.7536
handpd_meander,resnet50,0297-7,0,gaussian_blur,3,0.9636,0.9401,0.822,0.6603
handpd_meander,resnet50,0297-7,0,gaussian_blur,4,0.9291,0.8775,0.7269,0.6517
handpd_meander,resnet50,0297-7,0,gaussian_blur,5,0.8862,0.8072,0.661,0.63
handpd_meander,resnet50,0297-7,0,gaussian_noise,1,0.9976,0.9972,0.9892,0.9328
handpd_meander,resnet50,0297-7,0,gaussian_noise,2,0.9407,0.9585,0.8734,0.6333
handpd_meander,resnet50,0297-7,0,gaussian_noise,3,0.9277,0.9651,0.8866,0.6285
handpd_meander,resnet50,0297-7,0,gaussian_noise,4,0.9352,0.9268,0.7713,0.7363
handpd_meander,resnet50,0297-7,0,gaussian_noise,5,0.7661,0.8145,0.5645,0.5542
handpd_meander,resnet50,0297-7,0,contrast,1,0.895,0.9447,0.7537,0.5499
handpd_meander,resnet50,0297-7,0,contrast,2,0.9505,0.9592,0.8661,0.6462
handpd_meander,resnet50,0297-7,0,contrast,3,0.9842,0.9885,0.9341,0.8249
handpd_meander,resnet50,0297-7,0,contrast,4,0.9652,0.9868,0.9433,0.7599
handpd_meander,resnet50,0297-7,0,contrast,5,0.9632,0.9725,0.899,0.7627
handpd_meander,resnet50,0297-7,0,brightness,1,0.8679,0.8334,0.7698,0.492
handpd_meander,resnet50,0297-7,0,brightness,2,0.9205,0.9292,0.8026,0.6006
handpd_meander,resnet50,0297-7,0,brightness,3,0.9688,0.9804,0.8978,0.761
handpd_meander,resnet50,0297-7,0,brightness,4,0.7744,0.4246,0.589,0.3783
handpd_meander,resnet50,0297-7,0,brightness,5,0.7013,0.353,0.5364,0.3301
handpd_meander,resnet50,0297-7,0,shadow,1,0.9904,0.9932,0.951,0.8684
handpd_meander,resnet50,0297-7,0,shadow,2,0.9798,0.9819,0.924,0.8389
handpd_meander,resnet50,0297-7,0,shadow,3,0.9464,0.9455,0.8557,0.7611
handpd_meander,resnet50,0297-7,0,shadow,4,0.9308,0.9248,0.8288,0.7545
handpd_meander,resnet50,0297-7,0,shadow,5,0.9335,0.9109,0.8256,0.7136
handpd_meander,resnet50,0297-7,0,perspective,1,0.8719,0.738,0.6747,0.4804
handpd_meander,resnet50,0297-7,0,perspective,2,0.7591,0.3785,0.5333,0.3943
handpd_meander,resnet50,0297-7,0,perspective,3,0.7638,0.2923,0.4955,0.3263
handpd_meander,resnet50,0297-7,0,perspective,4,0.8126,0.5644,0.5468,0.3801
handpd_meander,resnet50,0297-7,0,perspective,5,0.7682,0.5982,0.5694,0.3718
handpd_meander,resnet50,0297-7,0,rotation,1,-0.1187,0.1225,0.3299,0.0544
handpd_meander,resnet50,0297-7,0,rotation,2,0.7734,0.496,0.4826,0.3805
handpd_meander,resnet50,0297-7,0,rotation,3,0.0622,0.0563,0.3435,0.1398
handpd_meander,resnet50,0297-7,0,rotation,4,0.674,0.3126,0.5197,0.1927
handpd_meander,resnet50,0297-7,0,rotation,5,0.6278,0.0703,0.3884,0.136
handpd_meander,resnet50,0102-5,0,jpeg_compression,1,0.9864,0.8854,0.9189,0.8231
handpd_meander,resnet50,0102-5,0,jpeg_compression,2,0.9352,0.8615,0.8469,0.5397
handpd_meander,resnet50,0102-5,0,jpeg_compression,3,0.9142,0.5447,0.7795,0.3584
handpd_meander,resnet50,0102-5,0,jpeg_compression,4,0.9343,0.8471,0.8467,0.562
handpd_meander,resnet50,0102-5,0,jpeg_compression,5,0.9225,0.6319,0.8247,0.4093
handpd_meander,resnet50,0102-5,0,gaussian_blur,1,0.9893,0.9242,0.918,0.7748
handpd_meander,resnet50,0102-5,0,gaussian_blur,2,0.966,0.8113,0.8626,0.6711
handpd_meander,resnet50,0102-5,0,gaussian_blur,3,0.9381,0.8828,0.8381,0.6293
handpd_meander,resnet50,0102-5,0,gaussian_blur,4,0.95,0.8962,0.8602,0.6617
handpd_meander,resnet50,0102-5,0,gaussian_blur,5,0.9591,0.934,0.8852,0.6917
handpd_meander,resnet50,0102-5,0,gaussian_noise,1,0.9977,0.9616,0.9729,0.8936
handpd_meander,resnet50,0102-5,0,gaussian_noise,2,0.9916,0.8466,0.9194,0.8219
handpd_meander,resnet50,0102-5,0,gaussian_noise,3,0.9825,0.9177,0.9147,0.7042
handpd_meander,resnet50,0102-5,0,gaussian_noise,4,0.9747,0.7781,0.8816,0.705
handpd_meander,resnet50,0102-5,0,gaussian_noise,5,0.8865,0.5922,0.7059,0.4516
handpd_meander,resnet50,0102-5,0,contrast,1,0.9239,0.6325,0.8472,0.4162
handpd_meander,resnet50,0102-5,0,contrast,2,0.9554,0.8758,0.8936,0.6957
handpd_meander,resnet50,0102-5,0,contrast,3,0.9865,0.8857,0.9238,0.7916
handpd_meander,resnet50,0102-5,0,contrast,4,0.9053,0.8816,0.8434,0.5872
handpd_meander,resnet50,0102-5,0,contrast,5,0.8982,0.8133,0.8037,0.4999
handpd_meander,resnet50,0102-5,0,brightness,1,0.5759,0.8048,0.6991,0.37
handpd_meander,resnet50,0102-5,0,brightness,2,0.9319,0.9266,0.8514,0.6763
handpd_meander,resnet50,0102-5,0,brightness,3,0.9594,0.9935,0.9233,0.7611
handpd_meander,resnet50,0102-5,0,brightness,4,0.8739,0.5523,0.7646,0.3926
handpd_meander,resnet50,0102-5,0,brightness,5,0.8555,0.4765,0.7566,0.2981
handpd_meander,resnet50,0102-5,0,shadow,1,0.9935,0.9982,0.9719,0.8719
handpd_meander,resnet50,0102-5,0,shadow,2,0.9636,0.9645,0.9265,0.8013
handpd_meander,resnet50,0102-5,0,shadow,3,0.9659,0.9517,0.8743,0.6561
handpd_meander,resnet50,0102-5,0,shadow,4,0.9301,0.8658,0.8115,0.5213
handpd_meander,resnet50,0102-5,0,shadow,5,0.8907,0.7201,0.7116,0.3981
handpd_meander,resnet50,0102-5,0,perspective,1,0.8998,0.5444,0.8012,0.3584
handpd_meander,resnet50,0102-5,0,perspective,2,0.9017,0.518,0.7973,0.399
handpd_meander,resnet50,0102-5,0,perspective,3,0.8678,0.5425,0.7222,0.399
handpd_meander,resnet50,0102-5,0,perspective,4,0.8985,0.5449,0.7439,0.399
handpd_meander,resnet50,0102-5,0,perspective,5,0.8924,0.5252,0.7516,0.399
handpd_meander,resnet50,0102-5,0,rotation,1,nan,nan,0.6994,0.169
handpd_meander,resnet50,0102-5,0,rotation,2,0.9061,0.5994,0.7914,0.38
handpd_meander,resnet50,0102-5,0,rotation,3,0.8938,0.4609,0.7579,0.2832
handpd_meander,resnet50,0102-5,0,rotation,4,0.841,0.5507,0.7374,0.3437
handpd_meander,resnet50,0102-5,0,rotation,5,0.8057,0.2633,0.662,0.1853
handpd_meander,resnet50,0129-6,0,jpeg_compression,1,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,jpeg_compression,2,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,jpeg_compression,3,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,jpeg_compression,4,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,jpeg_compression,5,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,gaussian_blur,1,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,gaussian_blur,2,nan,nan,0.9075,0.3706
handpd_meander,resnet50,0129-6,0,gaussian_blur,3,nan,nan,0.8378,0.0758
handpd_meander,resnet50,0129-6,0,gaussian_blur,4,nan,nan,0.7904,0.0963
handpd_meander,resnet50,0129-6,0,gaussian_blur,5,nan,nan,0.671,0.1164
handpd_meander,resnet50,0129-6,0,gaussian_noise,1,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,gaussian_noise,2,nan,nan,0.938,0.5294
handpd_meander,resnet50,0129-6,0,gaussian_noise,3,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,gaussian_noise,4,nan,nan,0.938,0.5294
handpd_meander,resnet50,0129-6,0,gaussian_noise,5,nan,nan,0.938,0.5294
handpd_meander,resnet50,0129-6,0,contrast,1,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,contrast,2,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,contrast,3,nan,nan,1.0,1.0
handpd_meander,resnet50,0129-6,0,contrast,4,nan,nan,0.775,0.182
handpd_meander,resnet50,0129-6,0,contrast,5,nan,nan,0.767,0.1995
