dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
handpd_spiral,resnet50,0289-4,0,jpeg_compression,1,0.9525,0.9437,0.8553,0.6924
handpd_spiral,resnet50,0289-4,0,jpeg_compression,2,0.9188,0.8855,0.8032,0.6766
handpd_spiral,resnet50,0289-4,0,jpeg_compression,3,0.8822,0.8246,0.7481,0.6487
handpd_spiral,resnet50,0289-4,0,jpeg_compression,4,0.9504,0.9336,0.8398,0.7818
handpd_spiral,resnet50,0289-4,0,jpeg_compression,5,0.5747,0.7694,0.5779,0.4414
handpd_spiral,resnet50,0289-4,0,gaussian_blur,1,0.8738,0.9334,0.7515,0.6961
handpd_spiral,resnet50,0289-4,0,gaussian_blur,2,0.718,0.7063,0.625,0.5758
handpd_spiral,resnet50,0289-4,0,gaussian_blur,3,0.5972,0.6356,0.5783,0.5257
handpd_spiral,resnet50,0289-4,0,gaussian_blur,4,0.4946,0.5549,0.5398,0.4384
handpd_spiral,resnet50,0289-4,0,gaussian_blur,5,0.3983,0.5488,0.5304,0.4214
handpd_spiral,resnet50,0289-4,0,gaussian_noise,1,0.9825,0.9912,0.9435,0.7777
handpd_spiral,resnet50,0289-4,0,gaussian_noise,2,0.9396,0.9578,0.8724,0.6841
handpd_spiral,resnet50,0289-4,0,gaussian_noise,3,0.7944,0.8531,0.6878,0.4423
handpd_spiral,resnet50,0289-4,0,gaussian_noise,4,0.6516,0.5927,0.4691,0.4076
handpd_spiral,resnet50,0289-4,0,gaussian_noise,5,0.6085,0.6503,0.5894,0.3368
handpd_spiral,resnet50,0289-4,0,contrast,1,0.8415,0.7703,0.7156,0.6622
handpd_spiral,resnet50,0289-4,0,contrast,2,0.905,0.9119,0.8058,0.7109
handpd_spiral,resnet50,0289-4,0,contrast,3,0.9821,0.9504,0.9207,0.8216
handpd_spiral,resnet50,0289-4,0,contrast,4,0.8511,0.8822,0.7383,0.5138
handpd_spiral,resnet50,0289-4,0,contrast,5,0.7929,0.8827,0.7064,0.48
handpd_spiral,resnet50,0289-4,0,brightness,1,0.6747,0.825,0.651,0.3823
handpd_spiral,resnet50,0289-4,0,brightness,2,0.7615,0.8707,0.7273,0.4677
handpd_spiral,resnet50,0289-4,0,brightness,3,0.8848,0.9379,0.8418,0.5891
handpd_spiral,resnet50,0289-4,0,brightness,4,0.3251,0.1358,0.2126,0.2676
handpd_spiral,resnet50,0289-4,0,brightness,5,0.0912,-0.0539,0.1804,0.1178
handpd_spiral,resnet50,0289-4,0,shadow,1,0.9692,0.9624,0.8685,0.794
handpd_spiral,resnet50,0289-4,0,shadow,2,0.929,0.9113,0.7256,0.6954
handpd_spiral,resnet50,0289-4,0,shadow,3,0.8698,0.8474,0.6414,0.5457
handpd_spiral,resnet50,0289-4,0,shadow,4,0.8009,0.7632,0.5296,0.4892
handpd_spiral,resnet50,0289-4,0,shadow,5,0.7612,0.6875,0.4278,0.4666
handpd_spiral,resnet50,0289-4,0,perspective,1,0.7114,0.7924,0.651,0.5132
handpd_spiral,resnet50,0289-4,0,perspective,2,0.7191,0.6958,0.6368,0.4082
handpd_spiral,resnet50,0289-4,0,perspective,3,0.6907,0.765,0.6378,0.4064
handpd_spiral,resnet50,0289-4,0,perspective,4,-0.0361,0.4349,0.4373,0.0945
handpd_spiral,resnet50,0289-4,0,perspective,5,0.0301,0.6096,0.4529,0.1844
handpd_spiral,resnet50,0289-4,0,rotation,1,0.5431,0.7491,0.6146,0.3444
handpd_spiral,resnet50,0289-4,0,rotation,2,0.4495,0.5079,0.5391,0.4279
handpd_spiral,resnet50,0289-4,0,rotation,3,0.5277,0.5923,0.4754,0.2625
handpd_spiral,resnet50,0289-4,0,rotation,4,-0.0028,0.082,0.2467,0.1113
handpd_spiral,resnet50,0289-4,0,rotation,5,0.1717,0.4344,0.4967,0.1732
handpd_spiral,resnet50,0104-2,0,jpeg_compression,1,0.9748,0.9492,0.9484,0.8905
handpd_spiral,resnet50,0104-2,0,jpeg_compression,2,0.9775,0.8411,0.9218,0.831
handpd_spiral,resnet50,0104-2,0,jpeg_compression,3,0.9147,0.8485,0.8507,0.8019
handpd_spiral,resnet50,0104-2,0,jpeg_compression,4,0.7235,0.7252,0.8196,0.7667
handpd_spiral,resnet50,0104-2,0,jpeg_compression,5,0.1441,0.0044,0.5159,0.1546
handpd_spiral,resnet50,0104-2,0,gaussian_blur,1,0.9973,0.9503,0.9823,0.9625
handpd_spiral,resnet50,0104-2,0,gaussian_blur,2,0.9823,0.9096,0.928,0.7926
handpd_spiral,resnet50,0104-2,0,gaussian_blur,3,0.9075,0.9042,0.8881,0.7515
handpd_spiral,resnet50,0104-2,0,gaussian_blur,4,0.8766,0.9054,0.862,0.7173
handpd_spiral,resnet50,0104-2,0,gaussian_blur,5,0.858,0.9054,0.8521,0.7063
handpd_spiral,resnet50,0104-2,0,gaussian_noise,1,0.9793,0.8478,0.9498,0.8472
handpd_spiral,resnet50,0104-2,0,gaussian_noise,2,0.9445,0.967,0.8982,0.8938
handpd_spiral,resnet50,0104-2,0,gaussian_noise,3,0.7261,0.6688,0.6128,0.4812
handpd_spiral,resnet50,0104-2,0,gaussian_noise,4,0.5599,0.4869,0.4808,0.3471
handpd_spiral,resnet50,0104-2,0,gaussian_noise,5,0.3556,0.4168,0.4879,0.257
handpd_spiral,resnet50,0104-2,0,contrast,1,0.8934,0.7342,0.863,0.4647
handpd_spiral,resnet50,0104-2,0,contrast,2,0.9648,0.9228,0.9278,0.8232
