dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
handpd_spiral,resnet50,clean,clean,0,,108,0.9074074074074074,0.865909090909091,0.9534883720930233,0.9318181818181818,0.8,0.9425287356321839,0.9448863636363636,82,4,16,6
handpd_spiral,resnet50,corrupted,jpeg_compression,1,90,108,0.8703703703703703,0.8431818181818183,0.9512195121951219,0.8863636363636364,0.8,0.9176470588235294,0.9511363636363637,78,4,16,10
handpd_spiral,resnet50,corrupted,jpeg_compression,2,70,108,0.8888888888888888,0.8352272727272727,0.9418604651162791,0.9204545454545454,0.75,0.9310344827586207,0.9295454545454546,81,5,15,7
handpd_spiral,resnet50,corrupted,jpeg_compression,3,50,108,0.8796296296296297,0.8295454545454546,0.9411764705882353,0.9090909090909091,0.75,0.9248554913294798,0.9176136363636364,80,5,15,8
handpd_spiral,resnet50,corrupted,jpeg_compression,4,30,108,0.8425925925925926,0.8261363636363637,0.9493670886075949,0.8522727272727273,0.8,0.8982035928143712,0.9312499999999999,75,4,16,13
handpd_spiral,resnet50,corrupted,jpeg_compression,5,10,108,0.8703703703703703,0.6886363636363637,0.8775510204081632,0.9772727272727273,0.4,0.9247311827956989,0.9068181818181817,86,12,8,2
handpd_spiral,resnet50,corrupted,gaussian_blur,1,3,108,0.8796296296296297,0.8681818181818182,0.9629629629629629,0.8863636363636364,0.85,0.9230769230769231,0.9545454545454545,78,3,17,10
handpd_spiral,resnet50,corrupted,gaussian_blur,2,5,108,0.8611111111111112,0.8761363636363637,0.974025974025974,0.8522727272727273,0.9,0.9090909090909091,0.9556818181818182,75,2,18,13
handpd_spiral,resnet50,corrupted,gaussian_blur,3,7,108,0.8055555555555556,0.8227272727272728,0.958904109589041,0.7954545454545454,0.85,0.8695652173913043,0.9363636363636364,70,3,17,18
handpd_spiral,resnet50,corrupted,gaussian_blur,4,9,108,0.7962962962962963,0.8363636363636364,0.9714285714285714,0.7727272727272727,0.9,0.8607594936708861,0.9306818181818182,68,2,18,20
handpd_spiral,resnet50,corrupted,gaussian_blur,5,11,108,0.7777777777777778,0.825,0.9705882352941176,0.75,0.9,0.8461538461538461,0.9329545454545455,66,2,18,22
handpd_spiral,resnet50,corrupted,gaussian_noise,1,0.01,108,0.8981481481481481,0.8602272727272727,0.9529411764705882,0.9204545454545454,0.8,0.9364161849710982,0.9505681818181818,81,4,16,7
handpd_spiral,resnet50,corrupted,gaussian_noise,2,0.03,108,0.8981481481481481,0.821590909090909,0.9325842696629213,0.9431818181818182,0.7,0.9378531073446328,0.9323863636363636,83,6,14,5
handpd_spiral,resnet50,corrupted,gaussian_noise,3,0.05,108,0.8796296296296297,0.7136363636363636,0.8865979381443299,0.9772727272727273,0.45,0.9297297297297298,0.9267045454545454,86,11,9,2
handpd_spiral,resnet50,corrupted,gaussian_noise,4,0.08,108,0.8518518518518519,0.6,0.8461538461538461,1.0,0.2,0.9166666666666666,0.9204545454545455,88,16,4,0
handpd_spiral,resnet50,corrupted,gaussian_noise,5,0.12,108,0.8425925925925926,0.575,0.8380952380952381,1.0,0.15,0.9119170984455959,0.9034090909090909,88,17,3,0
handpd_spiral,resnet50,corrupted,contrast,1,0.5,108,0.8888888888888888,0.8545454545454545,0.9523809523809523,0.9090909090909091,0.8,0.9302325581395349,0.9392045454545455,80,4,16,8
handpd_spiral,resnet50,corrupted,contrast,2,0.7,108,0.9074074074074074,0.8852272727272728,0.9642857142857143,0.9204545454545454,0.85,0.9418604651162791,0.9494318181818183,81,3,17,7
handpd_spiral,resnet50,corrupted,contrast,3,0.85,108,0.9074074074074074,0.8852272727272728,0.9642857142857143,0.9204545454545454,0.85,0.9418604651162791,0.952840909090909,81,3,17,7
handpd_spiral,resnet50,corrupted,contrast,4,1.3,108,0.9074074074074074,0.8079545454545455,0.9239130434782609,0.9659090909090909,0.65,0.9444444444444444,0.9346590909090909,85,7,13,3
handpd_spiral,resnet50,corrupted,contrast,5,1.5,108,0.8796296296296297,0.7715909090909091,0.9120879120879121,0.9431818181818182,0.6,0.9273743016759777,0.922159090909091,83,8,12,5
handpd_spiral,resnet50,corrupted,brightness,1,0.5,108,0.8703703703703703,0.7272727272727273,0.8936170212765957,0.9545454545454546,0.5,0.9230769230769231,0.9244318181818182,84,10,10,4
handpd_spiral,resnet50,corrupted,brightness,2,0.7,108,0.8888888888888888,0.7579545454545455,0.9042553191489362,0.9659090909090909,0.55,0.9340659340659341,0.9238636363636363,85,9,11,3
handpd_spiral,resnet50,corrupted,brightness,3,0.85,108,0.8888888888888888,0.7772727272727273,0.9130434782608695,0.9545454545454546,0.6,0.9333333333333333,0.9227272727272728,84,8,12,4
handpd_spiral,resnet50,corrupted,brightness,4,1.3,108,0.9074074074074074,0.7693181818181818,0.90625,0.9886363636363636,0.55,0.9456521739130435,0.8903409090909091,87,9,11,1
handpd_spiral,resnet50,corrupted,brightness,5,1.5,108,0.9074074074074074,0.75,0.8979591836734694,1.0,0.5,0.946236559139785,0.8931818181818183,88,10,10,0
handpd_spiral,resnet50,corrupted,shadow,1,0.85,108,0.9166666666666666,0.8136363636363637,0.9247311827956989,0.9772727272727273,0.65,0.9502762430939227,0.9363636363636363,86,7,13,2
handpd_spiral,resnet50,corrupted,shadow,2,0.7,108,0.8888888888888888,0.7193181818181819,0.8877551020408163,0.9886363636363636,0.45,0.9354838709677419,0.9295454545454546,87,11,9,1
handpd_spiral,resnet50,corrupted,shadow,3,0.55,108,0.8518518518518519,0.6,0.8461538461538461,1.0,0.2,0.9166666666666666,0.9102272727272727,88,16,4,0
handpd_spiral,resnet50,corrupted,shadow,4,0.42,108,0.8518518518518519,0.6,0.8461538461538461,1.0,0.2,0.9166666666666666,0.8954545454545455,88,16,4,0
handpd_spiral,resnet50,corrupted,shadow,5,0.3,108,0.8425925925925926,0.575,0.8380952380952381,1.0,0.15,0.9119170984455959,0.8596590909090909,88,17,3,0
handpd_spiral,resnet50,corrupted,perspective,1,0.02,108,0.8425925925925926,0.8454545454545455,0.961038961038961,0.8409090909090909,0.85,0.896969696969697,0.9119318181818181,74,3,17,14
handpd_spiral,resnet50,corrupted,perspective,2,0.04,108,0.8518518518518519,0.8511363636363636,0.9615384615384616,0.8522727272727273,0.85,0.9036144578313253,0.922159090909091,75,3,17,13
handpd_spiral,resnet50,corrupted,perspective,3,0.06,108,0.8611111111111112,0.8375,0.9506172839506173,0.875,0.8,0.9112426035502958,0.921590909090909,77,4,16,11
handpd_spiral,resnet50,corrupted,perspective,4,0.08,108,0.8518518518518519,0.8511363636363636,0.9615384615384616,0.8522727272727273,0.85,0.9036144578313253,0.9232954545454546,75,3,17,13
handpd_spiral,resnet50,corrupted,perspective,5,0.1,108,0.8333333333333334,0.8590909090909091,0.972972972972973,0.8181818181818182,0.9,0.8888888888888888,0.9204545454545454,72,2,18,16
handpd_spiral,resnet50,corrupted,rotation,1,-5,108,0.8333333333333334,0.8397727272727273,0.9605263157894737,0.8295454545454546,0.85,0.8902439024390244,0.9011363636363636,73,3,17,15
handpd_spiral,resnet50,corrupted,rotation,2,10,108,0.8611111111111112,0.8568181818181818,0.9620253164556962,0.8636363636363636,0.85,0.9101796407185628,0.9255681818181819,76,3,17,12
handpd_spiral,resnet50,corrupted,rotation,3,-15,108,0.8240740740740741,0.7375,0.9058823529411765,0.875,0.6,0.8901734104046243,0.8590909090909091,77,8,12,11
handpd_spiral,resnet50,corrupted,rotation,4,20,108,0.8333333333333334,0.8204545454545455,0.9487179487179487,0.8409090909090909,0.8,0.891566265060241,0.9210227272727273,74,4,16,14
handpd_spiral,resnet50,corrupted,rotation,5,-25,108,0.8703703703703703,0.8045454545454545,0.9302325581395349,0.9090909090909091,0.7,0.9195402298850575,0.8596590909090909,80,6,14,8
handpd_spiral,vgg16,clean,clean,0,,108,0.9444444444444444,0.85,0.9361702127659575,1.0,0.7,0.967032967032967,0.9823863636363636,88,6,14,0
