dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,1,0.9346,0.8553,0.7111,0.6834
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,2,0.8536,0.7263,0.6299,0.6056
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,3,0.8356,0.6403,0.5347,0.5533
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,4,0.7028,0.6855,0.5734,0.5223
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,5,0.617,0.5367,0.3653,0.3645
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,1,0.8805,0.9328,0.8519,0.5653
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,2,0.8369,0.8061,0.7541,0.5229
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,3,0.8076,0.7111,0.6975,0.4956
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,4,0.7504,0.6524,0.6382,0.4279
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,5,0.6637,0.5705,0.5161,0.3846
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,1,0.9524,0.8694,0.8449,0.6588
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,2,0.8213,0.6513,0.5757,0.5953
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,3,0.7447,0.5853,0.5726,0.4344
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,4,0.6227,0.6031,0.5459,0.4033
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,5,0.5748,0.4324,0.4596,0.3612
pdraw_spiral,resnet50,V09HE01,0,contrast,1,0.8506,0.7246,0.7128,0.4838
pdraw_spiral,resnet50,V09HE01,0,contrast,2,0.9726,0.9008,0.8683,0.7677
pdraw_spiral,resnet50,V09HE01,0,contrast,3,0.9888,0.9721,0.9495,0.8354
