dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,1,0.989,0.9772,0.9388,0.7591
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,2,0.989,0.9283,0.9038,0.7384
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,3,0.9481,0.933,0.8415,0.7071
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,4,0.8169,0.8233,0.6923,0.595
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,5,0.3205,0.734,0.6064,0.4338
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,1,0.9547,0.9115,0.8536,0.4893
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,2,0.9326,0.8864,0.808,0.4799
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,3,0.9221,0.7375,0.7,0.3336
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,4,0.9141,0.7043,0.6867,0.341
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,5,0.9034,0.6455,0.6453,0.4224
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,1,0.9777,0.9437,0.9183,0.6858
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,2,0.9632,0.8657,0.7946,0.5547
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,3,0.939,0.8012,0.733,0.48
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,4,0.8955,0.6768,0.6608,0.3004
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,5,0.8975,0.5835,0.626,0.319
pdraw_wave,resnet50,V09HO01,0,contrast,1,0.9906,0.9632,0.9298,0.7582
pdraw_wave,resnet50,V09HO01,0,contrast,2,0.9834,0.9704,0.9288,0.7625
pdraw_wave,resnet50,V09HO01,0,contrast,3,0.9966,0.9954,0.9809,0.8717
pdraw_wave,resnet50,V09HO01,0,contrast,4,0.9881,0.9702,0.954,0.7767
pdraw_wave,resnet50,V09HO01,0,contrast,5,0.9455,0.9503,0.8711,0.7439
pdraw_wave,resnet50,V09HO01,0,brightness,1,0.8538,0.8625,0.7067,0.6183
pdraw_wave,resnet50,V09HO01,0,brightness,2,0.8964,0.9095,0.751,0.6447
pdraw_wave,resnet50,V09HO01,0,brightness,3,0.9589,0.9703,0.8881,0.7293
pdraw_wave,resnet50,V09HO01,0,brightness,4,0.8924,0.7485,0.6525,0.5844
pdraw_wave,resnet50,V09HO01,0,brightness,5,0.9249,0.8402,0.7444,0.6179
pdraw_wave,resnet50,V09HO01,0,shadow,1,0.9509,0.9542,0.84,0.7004
pdraw_wave,resnet50,V09HO01,0,shadow,2,0.894,0.8636,0.7153,0.5883
pdraw_wave,resnet50,V09HO01,0,shadow,3,0.8396,0.7182,0.6653,0.3218
pdraw_wave,resnet50,V09HO01,0,shadow,4,0.7323,0.5546,0.5692,0.2054
pdraw_wave,resnet50,V09HO01,0,shadow,5,0.5321,0.3844,0.4848,0.1437
pdraw_wave,resnet50,V09HO01,0,perspective,1,0.3508,0.689,0.4886,0.3946
pdraw_wave,resnet50,V09HO01,0,perspective,2,0.4093,0.8196,0.5986,0.4288
pdraw_wave,resnet50,V09HO01,0,perspective,3,0.4058,0.7614,0.5743,0.3706
pdraw_wave,resnet50,V09HO01,0,perspective,4,0.4749,0.8601,0.6035,0.4982
pdraw_wave,resnet50,V09HO01,0,perspective,5,0.3804,0.6205,0.465,0.3283
pdraw_wave,resnet50,V09HO01,0,rotation,1,0.1614,0.2751,0.3585,0.2215
pdraw_wave,resnet50,V09HO01,0,rotation,2,0.3542,0.221,0.4337,0.1648
pdraw_wave,resnet50,V09HO01,0,rotation,3,0.043,0.2011,0.3145,0.0931
pdraw_wave,resnet50,V09HO01,0,rotation,4,0.0004,-0.0565,0.2767,0.054
pdraw_wave,resnet50,V09HO01,0,rotation,5,0.4183,0.4006,0.4471,0.2888
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,1,0.9853,0.8553,0.8534,0.8259
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,2,0.7954,0.8146,0.7488,0.521
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,3,0.9235,0.791,0.7592,0.5257
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,4,0.4618,0.3982,0.4348,0.32
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,5,0.2367,0.4404,0.5231,0.2502
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,1,0.7836,0.4828,0.5308,0.4694
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,2,0.8103,0.422,0.5191,0.4908
