dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
handpd_meander,resnet50,0305-8,0,jpeg_compression,1,0.9914,0.9811,0.9589,0.8986
handpd_meander,resnet50,0305-8,0,jpeg_compression,2,0.9152,0.9179,0.7757,0.7733
handpd_meander,resnet50,0305-8,0,jpeg_compression,3,0.9644,0.915,0.8576,0.7915
handpd_meander,resnet50,0305-8,0,jpeg_compression,4,0.8239,0.8261,0.654,0.6921
handpd_meander,resnet50,0305-8,0,jpeg_compression,5,0.7768,0.7035,0.4761,0.5411
handpd_meander,resnet50,0305-8,0,gaussian_blur,1,0.9922,0.9685,0.9489,0.8902
handpd_meander,resnet50,0305-8,0,gaussian_blur,2,0.9801,0.9411,0.9118,0.8929
handpd_meander,resnet50,0305-8,0,gaussian_blur,3,0.9406,0.8819,0.8535,0.8255
handpd_meander,resnet50,0305-8,0,gaussian_blur,4,0.8868,0.8094,0.7913,0.7653
handpd_meander,resnet50,0305-8,0,gaussian_blur,5,0.8175,0.7642,0.7479,0.6607
handpd_meander,resnet50,0305-8,0,gaussian_noise,1,0.9888,0.9865,0.9786,0.8748
handpd_meander,resnet50,0305-8,0,gaussian_noise,2,0.9778,0.9518,0.8756,0.8752
handpd_meander,resnet50,0305-8,0,gaussian_noise,3,0.9698,0.8861,0.7503,0.7448
handpd_meander,resnet50,0305-8,0,gaussian_noise,4,0.9447,0.8675,0.8358,0.6631
handpd_meander,resnet50,0305-8,0,gaussian_noise,5,0.9491,0.8507,0.8288,0.7091
handpd_meander,resnet50,0305-8,0,contrast,1,0.8554,0.8342,0.7392,0.6528
handpd_meander,resnet50,0305-8,0,contrast,2,0.9604,0.9149,0.8345,0.7969
handpd_meander,resnet50,0305-8,0,contrast,3,0.9887,0.9628,0.932,0.8757
handpd_meander,resnet50,0305-8,0,contrast,4,0.9389,0.8135,0.833,0.7908
handpd_meander,resnet50,0305-8,0,contrast,5,0.9313,0.8044,0.8369,0.7576
handpd_meander,resnet50,0305-8,0,brightness,1,0.9315,0.7552,0.7222,0.7047
handpd_meander,resnet50,0305-8,0,brightness,2,0.9488,0.8729,0.8279,0.7865
handpd_meander,resnet50,0305-8,0,brightness,3,0.952,0.9015,0.8797,0.7984
handpd_meander,resnet50,0305-8,0,brightness,4,0.4504,0.6107,0.5421,0.3415
handpd_meander,resnet50,0305-8,0,brightness,5,0.5245,0.6124,0.5792,0.436
handpd_meander,resnet50,0305-8,0,rotation,1,0.8132,0.6802,0.6288,0.5797
handpd_meander,resnet50,0305-8,0,rotation,2,0.1857,0.1214,0.408,0.1634
handpd_meander,resnet50,0305-8,0,rotation,3,0.5525,0.5012,0.4506,0.4162
handpd_meander,resnet50,0305-8,0,rotation,4,-0.0181,0.1547,0.3813,0.0905
handpd_meander,resnet50,0305-8,0,rotation,5,0.3544,0.5648,0.4758,0.2715
handpd_meander,resnet50,0102-6,0,jpeg_compression,1,0.6129,0.7775,0.732,0.5544
handpd_meander,resnet50,0102-6,0,jpeg_compression,2,0.6596,0.733,0.735,0.6106
handpd_meander,resnet50,0102-6,0,jpeg_compression,3,0.5977,0.836,0.8039,0.6973
handpd_meander,resnet50,0102-6,0,jpeg_compression,4,0.6073,0.6156,0.6974,0.4998
handpd_meander,resnet50,0102-6,0,jpeg_compression,5,0.6319,0.8097,0.7656,0.6493
handpd_meander,resnet50,0102-6,0,gaussian_blur,1,0.9736,0.9643,0.9129,0.8482
