dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
handpd_spiral,resnet50,0289-4,0,jpeg_compression,1,0.968,0.9828,0.874,0.7638
handpd_spiral,resnet50,0289-4,0,jpeg_compression,2,0.8891,0.9372,0.8433,0.6435
handpd_spiral,resnet50,0289-4,0,jpeg_compression,3,0.8234,0.9105,0.7582,0.576
handpd_spiral,resnet50,0289-4,0,jpeg_compression,4,0.9324,0.9554,0.8067,0.8018
handpd_spiral,resnet50,0289-4,0,jpeg_compression,5,0.7946,0.8676,0.5973,0.6209
handpd_spiral,resnet50,0289-4,0,gaussian_blur,1,0.9321,0.9706,0.7957,0.7755
handpd_spiral,resnet50,0289-4,0,gaussian_blur,2,0.8197,0.8732,0.6492,0.6404
handpd_spiral,resnet50,0289-4,0,gaussian_blur,3,0.7263,0.658,0.5662,0.5268
handpd_spiral,resnet50,0289-4,0,gaussian_blur,4,0.6593,0.6387,0.5014,0.5449
handpd_spiral,resnet50,0289-4,0,gaussian_blur,5,0.5849,0.5916,0.4736,0.5003
handpd_spiral,resnet50,0289-4,0,gaussian_noise,1,0.9906,0.997,0.9672,0.8826
handpd_spiral,resnet50,0289-4,0,gaussian_noise,2,0.9503,0.9501,0.8772,0.7554
handpd_spiral,resnet50,0289-4,0,gaussian_noise,3,0.8467,0.8734,0.7774,0.5785
handpd_spiral,resnet50,0289-4,0,gaussian_noise,4,0.8556,0.8682,0.7128,0.5975
handpd_spiral,resnet50,0289-4,0,gaussian_noise,5,0.7128,0.739,0.5902,0.4152
handpd_spiral,resnet50,0289-4,0,contrast,1,0.7561,0.89,0.7181,0.5821
handpd_spiral,resnet50,0289-4,0,contrast,2,0.9269,0.9602,0.8077,0.7711
handpd_spiral,resnet50,0289-4,0,contrast,3,0.9815,0.9901,0.9193,0.8656
handpd_spiral,resnet50,0289-4,0,contrast,4,0.8877,0.9282,0.8081,0.5809
handpd_spiral,resnet50,0289-4,0,contrast,5,0.8364,0.9223,0.7674,0.5368
handpd_spiral,resnet50,0289-4,0,brightness,1,0.7937,0.8943,0.7622,0.4802
handpd_spiral,resnet50,0289-4,0,brightness,2,0.8481,0.9239,0.8074,0.5563
handpd_spiral,resnet50,0289-4,0,brightness,3,0.9191,0.9599,0.8987,0.6774
handpd_spiral,resnet50,0289-4,0,brightness,4,0.603,0.5382,0.404,0.4505
handpd_spiral,resnet50,0289-4,0,brightness,5,0.4788,0.5131,0.3276,0.2628
handpd_spiral,resnet50,0289-4,0,rotation,1,0.6067,0.7911,0.5859,0.4114
handpd_spiral,resnet50,0289-4,0,rotation,2,0.2879,0.586,0.4912,0.3899
handpd_spiral,resnet50,0289-4,0,rotation,3,0.4962,0.5549,0.4528,0.3072
handpd_spiral,resnet50,0289-4,0,rotation,4,0.1159,0.3684,0.4159,0.1118
handpd_spiral,resnet50,0289-4,0,rotation,5,0.041,0.3697,0.4044,0.1725
handpd_spiral,resnet50,0104-2,0,jpeg_compression,1,0.9984,0.9398,0.97,0.8613
handpd_spiral,resnet50,0104-2,0,jpeg_compression,2,0.9892,0.9239,0.9404,0.7502
handpd_spiral,resnet50,0104-2,0,jpeg_compression,3,0.9579,0.7602,0.8898,0.6431
handpd_spiral,resnet50,0104-2,0,jpeg_compression,4,0.9226,0.8484,0.8991,0.6703
handpd_spiral,resnet50,0104-2,0,jpeg_compression,5,0.4503,0.4247,0.6428,0.2596
handpd_spiral,resnet50,0104-2,0,gaussian_blur,1,0.9982,0.9755,0.986,0.9285
handpd_spiral,resnet50,0104-2,0,gaussian_blur,2,0.9963,0.9623,0.9621,0.8522
handpd_spiral,resnet50,0104-2,0,gaussian_blur,3,0.9348,0.8623,0.8952,0.6987
handpd_spiral,resnet50,0104-2,0,gaussian_blur,4,0.8979,0.8418,0.853,0.6133
handpd_spiral,resnet50,0104-2,0,gaussian_blur,5,0.9296,0.8476,0.8683,0.6587
handpd_spiral,resnet50,0104-2,0,gaussian_noise,1,0.9995,0.9286,0.9935,0.9865
handpd_spiral,resnet50,0104-2,0,gaussian_noise,2,0.9877,0.8142,0.8972,0.7078
handpd_spiral,resnet50,0104-2,0,gaussian_noise,3,0.8908,0.7823,0.8437,0.6622
handpd_spiral,resnet50,0104-2,0,gaussian_noise,4,0.8888,0.6906,0.752,0.5539
handpd_spiral,resnet50,0104-2,0,gaussian_noise,5,0.8592,0.5611,0.5553,0.4731
handpd_spiral,resnet50,0104-2,0,contrast,1,0.9916,0.9618,0.9538,0.8016
handpd_spiral,resnet50,0104-2,0,contrast,2,0.9935,0.9679,0.9845,0.9408
handpd_spiral,resnet50,0104-2,0,contrast,3,0.9976,0.9672,0.9833,0.9239
handpd_spiral,resnet50,0104-2,0,contrast,4,0.9916,0.8749,0.9585,0.9561
handpd_spiral,resnet50,0104-2,0,contrast,5,0.9741,0.7849,0.8858,0.7522
handpd_spiral,resnet50,0104-2,0,brightness,1,0.6083,0.7407,0.6105,0.4716
handpd_spiral,resnet50,0104-2,0,brightness,2,0.7612,0.6997,0.7399,0.5754
