dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,1,0.9568,0.9471,0.8134,0.8232
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,2,0.8943,0.8695,0.6899,0.7259
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,3,0.8,0.7498,0.6138,0.4755
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,4,0.7937,0.86,0.6256,0.5634
pdraw_spiral,resnet50,V09HE01,0,jpeg_compression,5,0.7286,0.7288,0.4958,0.4716
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,1,0.8517,0.8532,0.7394,0.5973
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,2,0.8549,0.8646,0.7716,0.6471
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,3,0.8272,0.8355,0.7265,0.5636
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,4,0.8024,0.8183,0.6927,0.5761
pdraw_spiral,resnet50,V09HE01,0,gaussian_blur,5,0.7754,0.7927,0.6595,0.5215
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,1,0.9427,0.9362,0.8106,0.7189
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,2,0.7751,0.8069,0.6749,0.5809
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,3,0.7361,0.8358,0.6697,0.5222
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,4,0.6713,0.7439,0.5927,0.4405
pdraw_spiral,resnet50,V09HE01,0,gaussian_noise,5,0.6199,0.7167,0.597,0.4016
pdraw_spiral,resnet50,V09HE01,0,contrast,1,0.819,0.7564,0.6922,0.4971
pdraw_spiral,resnet50,V09HE01,0,contrast,2,0.9535,0.9143,0.8445,0.843
pdraw_spiral,resnet50,V09HE01,0,contrast,3,0.9897,0.9765,0.9295,0.9197
pdraw_spiral,resnet50,V09HE01,0,contrast,4,0.9702,0.9743,0.9,0.7862
pdraw_spiral,resnet50,V09HE01,0,contrast,5,0.9404,0.9657,0.8355,0.7011
pdraw_spiral,resnet50,V09HE01,0,brightness,1,0.7819,0.7652,0.5687,0.5496
pdraw_spiral,resnet50,V09HE01,0,brightness,2,0.8875,0.8512,0.705,0.7202
pdraw_spiral,resnet50,V09HE01,0,brightness,3,0.9228,0.8614,0.7656,0.7756
pdraw_spiral,resnet50,V09HE01,0,brightness,4,0.1724,0.2243,0.4253,0.1898
pdraw_spiral,resnet50,V09HE01,0,brightness,5,0.3008,0.1766,0.3697,0.2177
pdraw_spiral,resnet50,V09HE01,0,rotation,1,0.8111,0.8094,0.7049,0.4709
pdraw_spiral,resnet50,V09HE01,0,rotation,2,0.5554,0.4199,0.441,0.3346
pdraw_spiral,resnet50,V09HE01,0,rotation,3,0.1133,0.167,0.3552,0.1417
pdraw_spiral,resnet50,V09HE01,0,rotation,4,-0.1447,-0.0489,0.276,0.0584
pdraw_spiral,resnet50,V09HE01,0,rotation,5,-0.0753,-0.0417,0.3229,0.048
pdraw_spiral,resnet50,V55HE14,0,jpeg_compression,1,0.8787,0.7611,0.8489,0.5059
pdraw_spiral,resnet50,V55HE14,0,jpeg_compression,2,0.7818,0.5881,0.8089,0.5751
pdraw_spiral,resnet50,V55HE14,0,jpeg_compression,3,0.9106,0.871,0.8868,0.6536
pdraw_spiral,resnet50,V55HE14,0,jpeg_compression,4,0.6454,0.6413,0.7444,0.4316
pdraw_spiral,resnet50,V55HE14,0,jpeg_compression,5,0.2962,0.293,0.3968,0.1903
pdraw_spiral,resnet50,V55HE14,0,gaussian_blur,1,0.8186,0.7236,0.8154,0.626
pdraw_spiral,resnet50,V55HE14,0,gaussian_blur,2,0.8966,0.7711,0.8684,0.6907
pdraw_spiral,resnet50,V55HE14,0,gaussian_blur,3,0.4941,0.5579,0.7994,0.4502
pdraw_spiral,resnet50,V55HE14,0,gaussian_blur,4,0.8014,0.5151,0.758,0.3352
pdraw_spiral,resnet50,V55HE14,0,gaussian_blur,5,0.3626,0.1886,0.5821,0.1815
