dataset,model,image,y_true,corruption,level,pearson_clean,spearman_clean,ssim_clean,iou_top20_clean
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,1,0.9845,0.9834,0.9355,0.8588
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,2,0.966,0.9572,0.8783,0.8078
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,3,0.9548,0.9604,0.8602,0.8006
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,4,0.8331,0.918,0.7788,0.6505
pdraw_wave,resnet50,V09HO01,0,jpeg_compression,5,0.6571,0.7413,0.6262,0.5876
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,1,0.8611,0.9144,0.7758,0.5567
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,2,0.8206,0.8173,0.7016,0.5042
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,3,0.6931,0.6663,0.5699,0.3686
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,4,0.6811,0.6859,0.555,0.3938
pdraw_wave,resnet50,V09HO01,0,gaussian_blur,5,0.7366,0.7459,0.5971,0.4461
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,1,0.9291,0.9711,0.8634,0.8239
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,2,0.8172,0.8906,0.6572,0.6329
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,3,0.9182,0.8212,0.6918,0.7267
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,4,0.8684,0.7172,0.6069,0.5828
pdraw_wave,resnet50,V09HO01,0,gaussian_noise,5,0.7517,0.6236,0.5491,0.3587
pdraw_wave,resnet50,V09HO01,0,contrast,1,0.9649,0.9721,0.8734,0.7916
pdraw_wave,resnet50,V09HO01,0,contrast,2,0.9595,0.9945,0.8815,0.8428
pdraw_wave,resnet50,V09HO01,0,contrast,3,0.9954,0.9923,0.9755,0.9191
pdraw_wave,resnet50,V09HO01,0,contrast,4,0.9952,0.9919,0.9552,0.932
pdraw_wave,resnet50,V09HO01,0,contrast,5,0.9506,0.9766,0.8548,0.8558
pdraw_wave,resnet50,V09HO01,0,brightness,1,0.889,0.9353,0.7211,0.7151
pdraw_wave,resnet50,V09HO01,0,brightness,2,0.911,0.9424,0.734,0.7019
pdraw_wave,resnet50,V09HO01,0,brightness,3,0.944,0.9572,0.802,0.7658
pdraw_wave,resnet50,V09HO01,0,brightness,4,0.8632,0.7796,0.643,0.6592
pdraw_wave,resnet50,V09HO01,0,brightness,5,0.8919,0.7902,0.6968,0.768
pdraw_wave,resnet50,V09HO01,0,rotation,1,0.1624,0.368,0.4249,0.1492
pdraw_wave,resnet50,V09HO01,0,rotation,2,0.1982,0.1022,0.3544,0.1178
pdraw_wave,resnet50,V09HO01,0,rotation,3,-0.0402,0.1573,0.2905,0.0702
pdraw_wave,resnet50,V09HO01,0,rotation,4,-0.1908,-0.1524,0.2048,0.0243
pdraw_wave,resnet50,V09HO01,0,rotation,5,0.2375,0.2527,0.3663,0.1527
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,1,0.9577,0.9303,0.8179,0.7033
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,2,0.8256,0.8766,0.5912,0.5497
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,3,0.9201,0.8973,0.7999,0.6642
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,4,0.4755,0.623,0.5431,0.3154
pdraw_wave,resnet50,V55HO10,0,jpeg_compression,5,0.112,0.3463,0.3609,0.1032
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,1,0.8464,0.5461,0.5439,0.6349
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,2,0.8687,0.6383,0.6237,0.5652
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,3,0.8151,0.5022,0.5627,0.5243
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,4,0.7503,0.4893,0.4452,0.4483
pdraw_wave,resnet50,V55HO10,0,gaussian_blur,5,0.6556,0.4958,0.4627,0.3829
pdraw_wave,resnet50,V55HO10,0,gaussian_noise,1,0.8917,0.8546,0.7408,0.6317
pdraw_wave,resnet50,V55HO10,0,gaussian_noise,2,0.9301,0.8642,0.7506,0.6057
pdraw_wave,resnet50,V55HO10,0,gaussian_noise,3,0.4596,0.5481,0.5123,0.3107
pdraw_wave,resnet50,V55HO10,0,gaussian_noise,4,0.651,0.5128,0.476,0.3479
pdraw_wave,resnet50,V55HO10,0,gaussian_noise,5,0.465,0.5372,0.471,0.269
pdraw_wave,resnet50,V55HO10,0,contrast,1,0.8614,0.906,0.7815,0.6218
pdraw_wave,resnet50,V55HO10,0,contrast,2,0.9283,0.9098,0.8552,0.7519
pdraw_wave,resnet50,V55HO10,0,contrast,3,0.9639,0.9621,0.888,0.7302
pdraw_wave,resnet50,V55HO10,0,contrast,4,0.951,0.9221,0.8633,0.686
pdraw_wave,resnet50,V55HO10,0,contrast,5,0.9113,0.815,0.8128,0.5902
pdraw_wave,resnet50,V55HO10,0,brightness,1,0.9589,0.8842,0.8138,0.6419
pdraw_wave,resnet50,V55HO10,0,brightness,2,0.9835,0.9531,0.886,0.8226
pdraw_wave,resnet50,V55HO10,0,brightness,3,0.9898,0.977,0.8797,0.8302
pdraw_wave,resnet50,V55HO10,0,brightness,4,-0.0941,0.1093,0.2947,0.0299
pdraw_wave,resnet50,V55HO10,0,brightness,5,0.0354,0.1491,0.3235,0.0962
pdraw_wave,resnet50,V55HO10,0,rotation,1,0.0579,0.1013,0.338,0.1197
pdraw_wave,resnet50,V55HO10,0,rotation,2,-0.0547,-0.1032,0.2651,0.1413
pdraw_wave,resnet50,V55HO10,0,rotation,3,0.1167,0.1835,0.2265,0.1157
pdraw_wave,resnet50,V55HO10,0,rotation,4,-0.0067,0.0816,0.1774,0.1483
pdraw_wave,resnet50,V55HO10,0,rotation,5,-0.4116,-0.4732,0.1942,0.0047
pdraw_wave,resnet50,V08HO01,0,jpeg_compression,1,0.999,0.9963,0.9885,0.863
pdraw_wave,resnet50,V08HO01,0,jpeg_compression,2,0.997,0.9828,0.9836,0.824
pdraw_wave,resnet50,V08HO01,0,jpeg_compression,3,0.9943,0.9391,0.9509,0.825
pdraw_wave,resnet50,V08HO01,0,jpeg_compression,4,0.9865,0.7791,0.8243,0.5469
pdraw_wave,resnet50,V08HO01,0,jpeg_compression,5,0.5436,0.3222,0.3637,0.2756
pdraw_wave,resnet50,V08HO01,0,gaussian_blur,1,0.993,0.915,0.9321,0.7945
pdraw_wave,resnet50,V08HO01,0,gaussian_blur,2,0.986,0.865,0.8803,0.6749
pdraw_wave,resnet50,V08HO01,0,gaussian_blur,3,0.9807,0.7457,0.7886,0.6016
pdraw_wave,resnet50,V08HO01,0,gaussian_blur,4,0.974,0.7396,0.7737,0.5609
pdraw_wave,resnet50,V08HO01,0,gaussian_blur,5,0.9646,0.6552,0.7297,0.5034
pdraw_wave,resnet50,V08HO01,0,gaussian_noise,1,0.9928,0.9,0.9216,0.7815
pdraw_wave,resnet50,V08HO01,0,gaussian_noise,2,0.989,0.7195,0.8784,0.7017
pdraw_wave,resnet50,V08HO01,0,gaussian_noise,3,0.9834,0.7579,0.8074,0.4973
pdraw_wave,resnet50,V08HO01,0,gaussian_noise,4,0.9846,0.515,0.7629,0.5062
pdraw_wave,resnet50,V08HO01,0,gaussian_noise,5,0.9823,0.608,0.7767,0.5375
pdraw_wave,resnet50,V08HO01,0,contrast,1,0.9924,0.828,0.8777,0.6844
pdraw_wave,resnet50,V08HO01,0,contrast,2,0.9974,0.9839,0.9528,0.7486
pdraw_wave,resnet50,V08HO01,0,contrast,3,0.9973,0.991,0.9544,0.7097
pdraw_wave,resnet50,V08HO01,0,contrast,4,0.9876,0.8444,0.8699,0.7854
pdraw_wave,resnet50,V08HO01,0,contrast,5,0.9833,0.8441,0.8646,0.7486
pdraw_wave,resnet50,V08HO01,0,brightness,1,0.9629,0.8185,0.8239,0.6043
pdraw_wave,resnet50,V08HO01,0,brightness,2,0.9861,0.8305,0.8792,0.6292
pdraw_wave,resnet50,V08HO01,0,brightness,3,0.9941,0.8583,0.9092,0.6613
pdraw_wave,resnet50,V08HO01,0,brightness,4,0.9644,0.6012,0.7662,0.4649
pdraw_wave,resnet50,V08HO01,0,brightness,5,0.9067,0.5952,0.7336,0.4174
pdraw_wave,resnet50,V08HO01,0,rotation,1,0.097,0.4154,0.2815,0.2838
