dataset,model,W1_main,W2_perf,W3_equal
handpd_meander,efficientnet_b0,82.38865837362287,84.38559262017318,80.74094811134358
handpd_meander,mobilenet_v3_large,84.54449619182341,86.2152439044334,83.10259275468161
handpd_meander,resnet50,92.45301025877436,96.33709110638561,89.75311516206332
handpd_meander,vgg16,88.92488996913963,90.81399650823448,87.49209581915648
handpd_spiral,efficientnet_b0,87.93831254384992,91.95426287743143,85.27409953146336
handpd_spiral,mobilenet_v3_large,94.91358122386299,97.07844253114062,93.48601935176151
handpd_spiral,resnet50,90.74062015054774,94.09962144376158,88.55524873037102
handpd_spiral,vgg16,94.34442919731009,98.04179395529803,91.87665771518256
pdraw_spiral,efficientnet_b0,91.58204777586477,97.5831716164084,87.68715819703564
pdraw_spiral,mobilenet_v3_large,92.9879049725505,98.29533985142646,89.46854170345834
pdraw_spiral,resnet50,88.80165404673532,92.73534359218986,86.3189800014231
pdraw_spiral,vgg16,86.0169099258734,91.12599265314614,82.33192466511187
pdraw_wave,efficientnet_b0,96.14707066586689,100.0,93.45521058833694
pdraw_wave,mobilenet_v3_large,86.52969447536083,89.85762132721268,84.09978347056553
pdraw_wave,resnet50,93.25179037234984,98.25636537234985,89.93000319149984
pdraw_wave,vgg16,88.28089906903762,92.73480880354252,85.2965635163868
