dataset,model,condition_type,corruption,level,param,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,auc,tp,fp,tn,fn
handpd_meander,resnet50,clean,clean,0,,108,0.8333333333333334,0.8011363636363636,0.9375,0.8522727272727273,0.75,0.8928571428571429,0.8755681818181819,75,5,15,13
handpd_meander,resnet50,corrupted,jpeg_compression,1,90.0,108,0.8055555555555556,0.803409090909091,0.9466666666666668,0.8068181818181818,0.8,0.8711656441717791,0.8789772727272728,71,4,16,17
handpd_meander,resnet50,corrupted,jpeg_compression,2,70.0,108,0.7592592592592593,0.775,0.9428571428571428,0.75,0.8,0.8354430379746836,0.8840909090909091,66,4,16,22
handpd_meander,resnet50,corrupted,jpeg_compression,3,50.0,108,0.75,0.7693181818181818,0.9420289855072465,0.7386363636363636,0.8,0.8280254777070064,0.884659090909091,65,4,16,23
handpd_meander,resnet50,corrupted,jpeg_compression,4,30.0,108,0.7222222222222222,0.7522727272727273,0.9393939393939394,0.7045454545454546,0.8,0.8051948051948052,0.8875,62,4,16,26
handpd_meander,resnet50,corrupted,jpeg_compression,5,10.0,108,0.7962962962962963,0.7977272727272727,0.945945945945946,0.7954545454545454,0.8,0.8641975308641975,0.8676136363636364,70,4,16,18
handpd_meander,resnet50,corrupted,gaussian_blur,1,3.0,108,0.8333333333333334,0.8011363636363636,0.9375,0.8522727272727273,0.75,0.8928571428571429,0.8732954545454545,75,5,15,13
handpd_meander,resnet50,corrupted,gaussian_blur,2,5.0,108,0.8333333333333334,0.8011363636363636,0.9375,0.8522727272727273,0.75,0.8928571428571429,0.8693181818181818,75,5,15,13
handpd_meander,resnet50,corrupted,gaussian_blur,3,7.0,108,0.8333333333333334,0.7818181818181817,0.926829268292683,0.8636363636363636,0.7,0.8941176470588236,0.8721590909090909,76,6,14,12
handpd_meander,resnet50,corrupted,gaussian_blur,4,9.0,108,0.8333333333333334,0.7625,0.9166666666666666,0.875,0.65,0.8953488372093024,0.8721590909090908,77,7,13,11
handpd_meander,resnet50,corrupted,gaussian_blur,5,11.0,108,0.8703703703703703,0.7852272727272727,0.9204545454545454,0.9204545454545454,0.65,0.9204545454545454,0.8738636363636364,81,7,13,7
handpd_meander,resnet50,corrupted,gaussian_noise,1,0.01,108,0.8518518518518519,0.8318181818181818,0.95,0.8636363636363636,0.8,0.9047619047619048,0.8784090909090909,76,4,16,12
handpd_meander,resnet50,corrupted,gaussian_noise,2,0.03,108,0.8148148148148148,0.8090909090909091,0.9473684210526316,0.8181818181818182,0.8,0.8780487804878049,0.8909090909090909,72,4,16,16
handpd_meander,resnet50,corrupted,gaussian_noise,3,0.05,108,0.8518518518518519,0.8125,0.9390243902439024,0.875,0.75,0.9058823529411764,0.8960227272727272,77,5,15,11
handpd_meander,resnet50,corrupted,gaussian_noise,4,0.08,108,0.8796296296296297,0.8102272727272727,0.9310344827586208,0.9204545454545454,0.7,0.9257142857142856,0.9096590909090908,81,6,14,7
handpd_meander,resnet50,corrupted,gaussian_noise,5,0.12,108,0.8888888888888888,0.8159090909090909,0.9318181818181818,0.9318181818181818,0.7,0.9318181818181818,0.9085227272727272,82,6,14,6
