dataset,model,PRS,PRS_plain_acc,mean_d_acc,clean_acc,clean_bacc,clean_f1,clean_auc
handpd_meander,vgg16,95.07,94.39,0.0561,0.8796,0.7523,0.9282,0.8864
handpd_meander,mobilenet_v3_large,94.24,92.36,0.0764,0.8519,0.7739,0.908,0.8386
handpd_meander,resnet50,93.25,96.39,0.0361,0.8333,0.8011,0.8929,0.8756
handpd_meander,efficientnet_b0,84.14,82.05,0.1795,0.8796,0.8489,0.924,0.846
handpd_spiral,vgg16,91.46,95.98,0.0402,0.9444,0.85,0.967,0.9824
handpd_spiral,mobilenet_v3_large,90.75,92.87,0.0713,0.9352,0.9602,0.9586,0.983
handpd_spiral,resnet50,89.71,95.36,0.0464,0.9074,0.8659,0.9425,0.9449
handpd_spiral,efficientnet_b0,87.78,89.69,0.1031,0.9074,0.9432,0.9398,0.9784
pdraw_spiral,vgg16,96.21,100.0,-0.025,0.7333,0.7333,0.6923,0.8044
pdraw_spiral,efficientnet_b0,94.86,99.29,0.0071,0.7,0.7,0.7273,0.8756
pdraw_spiral,resnet50,90.76,93.16,0.0684,0.6333,0.6333,0.7317,0.9289
pdraw_spiral,mobilenet_v3_large,84.85,85.3,0.147,0.8333,0.8333,0.8387,0.92
pdraw_wave,resnet50,91.94,96.83,0.0317,0.8667,0.8667,0.8462,0.9156
pdraw_wave,mobilenet_v3_large,89.74,92.08,0.0792,0.8,0.8,0.8333,0.9644
pdraw_wave,efficientnet_b0,88.93,89.9,0.101,0.8333,0.8333,0.8387,0.9289
pdraw_wave,vgg16,74.18,94.26,0.0574,0.5667,0.5667,0.2353,0.8711
