dataset,model,PRS_mean,PRS_std,acc_mean,acc_std,bacc_mean,bacc_std,auc_mean,auc_std,f1_mean,f1_std,PRS
handpd_meander,efficientnet_b0,82.96333333333332,1.0191336189790472,0.8641666666666667,0.02673131746347967,0.8394333333333334,0.016396747644985353,0.8342666666666667,0.011369403385109191,0.9132000000000001,0.018706148721743962,82.96 ± 1.02
handpd_meander,mobilenet_v3_large,88.14333333333333,5.308957838722522,0.8148333333333334,0.04898421514460894,0.7898000000000001,0.026592668162484172,0.8357666666666667,0.0025967928938083174,0.8783333333333333,0.038074838585781756,88.14 ± 5.31
handpd_meander,resnet50,93.46666666666665,1.1405408073950418,0.8487666666666667,0.014162391511793923,0.7977333333333334,0.0040771722226726394,0.8615666666666667,0.012482921666554415,0.9044,0.010445573225055649,93.47 ± 1.14
handpd_meander,vgg16,92.06333333333333,3.077276934780701,0.8795999999999999,0.01849999999999999,0.7909,0.06014540713969775,0.8610000000000001,0.023582196674610256,0.9266333333333333,0.010636885509082717,92.06 ± 3.08
handpd_spiral,efficientnet_b0,88.01666666666667,0.28290163190291645,0.8858,0.03741229744348772,0.9299333333333334,0.02297854071374713,0.9808666666666667,0.004801388688008253,0.9242333333333334,0.026962257571155494,88.02 ± 0.28
handpd_spiral,mobilenet_v3_large,91.83666666666666,2.6993579483524095,0.9197666666666667,0.0437420087939881,0.9121333333333334,0.06122755371018297,0.9699,0.02217227999101581,0.9491999999999999,0.028104803859838653,91.84 ± 2.7
handpd_spiral,resnet50,90.96333333333332,1.378634590213573,0.8919666666666667,0.014151442800412016,0.8693,0.016760668244434604,0.9596666666666667,0.013573626388453953,0.9316333333333334,0.01022562141550984,90.96 ± 1.38
handpd_spiral,vgg16,93.69333333333333,1.9904103429527649,0.9074,0.03204293994002424,0.8272666666666666,0.019687644179366266,0.9343,0.04212208446883893,0.9435333333333333,0.020322729475474817,93.69 ± 1.99
pdraw_spiral,efficientnet_b0,92.97666666666667,1.6932906818775517,0.7222333333333334,0.038509262954948054,0.7222333333333334,0.038509262954948054,0.8696666666666667,0.0051384173957876806,0.7475666666666667,0.017574508053807246,92.98 ± 1.69
pdraw_spiral,mobilenet_v3_large,89.73333333333333,4.306905308145671,0.8111,0.019225763964014535,0.8111,0.019225763964014535,0.9185,0.006775691846593981,0.8033666666666667,0.030599564267050176,89.73 ± 4.31
pdraw_spiral,resnet50,89.11666666666667,1.5101103712422244,0.7222,0.0839025029424034,0.7222,0.0839025029424034,0.9318333333333334,0.009255448845590028,0.7815666666666666,0.04641134918673805,89.12 ± 1.51
pdraw_spiral,vgg16,92.33,5.512503968252542,0.7222,0.019225763964014552,0.7222,0.019225763964014552,0.8163,0.011225417586887316,0.6333666666666667,0.060507051930608347,92.33 ± 5.51
pdraw_wave,efficientnet_b0,93.97333333333334,4.381259331896862,0.7777666666666666,0.050910247822352386,0.7777666666666666,0.050910247822352386,0.9363,0.006775691846593975,0.7971,0.037848117522540005,93.97 ± 4.38
pdraw_wave,mobilenet_v3_large,86.61,3.0907766014385407,0.8777666666666667,0.06937552402204492,0.8777666666666667,0.06937552402204492,0.9422,0.019351227351256044,0.8861666666666667,0.04849910652097964,86.61 ± 3.09
pdraw_wave,resnet50,91.81,1.5092050887801889,0.8555666666666667,0.050921148193391406,0.8555666666666667,0.050921148193391406,0.9170666666666666,0.011172436320397322,0.8492000000000001,0.0382882488500062,91.81 ± 1.51
pdraw_wave,vgg16,85.75333333333333,10.539645787849475,0.7666666666666666,0.17635822445617144,0.7666666666666666,0.17635822445617144,0.8918666666666667,0.018526827395248593,0.6568666666666666,0.3662334546888546,85.75 ± 10.54
