dataset,model,jpeg_compression,gaussian_blur,gaussian_noise,contrast,brightness,shadow,perspective,rotation,PRS
handpd_meander,resnet50,0.0867,0.0284,0.0147,0.0258,0.1022,0.0369,0.0926,0.2163,92.45
handpd_meander,vgg16,0.0529,0.0278,0.0525,0.0248,0.2002,0.0427,0.0523,0.4328,88.92
handpd_meander,mobilenet_v3_large,0.1414,0.1384,0.1659,0.0119,0.1518,0.0466,0.1759,0.4045,84.54
handpd_meander,efficientnet_b0,0.1093,0.182,0.0368,0.0484,0.217,0.0372,0.2752,0.503,82.39
handpd_spiral,mobilenet_v3_large,0.0207,0.0136,0.0025,0.0111,0.0933,0.1003,0.0695,0.0959,94.91
handpd_spiral,vgg16,0.0164,0.0442,0.0339,0.0166,0.0762,0.0521,0.0776,0.1354,94.34
handpd_spiral,resnet50,0.067,0.1015,0.0667,0.0089,0.1303,0.116,0.0827,0.1676,90.74
handpd_spiral,efficientnet_b0,0.1229,0.171,0.0285,0.0858,0.1933,0.0531,0.1351,0.1752,87.94
pdraw_spiral,mobilenet_v3_large,0.0507,0.0079,-0.0017,0.0169,0.1674,0.0726,0.067,0.1803,92.99
pdraw_spiral,efficientnet_b0,0.0122,0.0061,0.0212,0.0045,0.051,0.1524,0.1955,0.2307,91.58
pdraw_spiral,resnet50,0.1808,0.1119,0.0841,0.0065,0.0829,0.1553,0.0429,0.2314,88.8
pdraw_spiral,vgg16,0.1888,0.1799,0.1282,0.0421,0.2547,0.07,0.1606,0.0943,86.02
pdraw_wave,efficientnet_b0,0.0358,0.0305,-0.1118,-0.034,-0.0313,0.0891,0.0059,0.3241,96.15
pdraw_wave,resnet50,0.0036,0.0273,0.0542,0.0128,0.0201,0.0693,0.0482,0.3044,93.25
pdraw_wave,vgg16,0.0978,0.1204,0.098,0.083,0.1429,0.0489,0.1297,0.2169,88.28
pdraw_wave,mobilenet_v3_large,0.0591,0.1264,0.069,0.0059,0.1096,0.0528,0.0699,0.5849,86.53
