dataset,model,jpeg_compression,gaussian_blur,gaussian_noise,contrast,brightness,shadow,perspective,rotation
handpd_meander,efficientnet_b0,0.932,0.855,0.95,0.945,0.767,0.777,0.584,0.369
handpd_meander,mobilenet_v3_large,0.89,0.899,0.87,0.942,0.77,0.889,0.71,0.494
handpd_meander,resnet50,0.837,0.86,0.892,0.902,0.778,0.884,0.642,0.439
handpd_meander,vgg16,0.903,0.894,0.916,0.902,0.798,0.89,0.783,0.549
handpd_spiral,efficientnet_b0,0.9,0.671,0.89,0.869,0.737,0.755,0.638,0.281
handpd_spiral,mobilenet_v3_large,0.936,0.938,0.938,0.956,0.817,0.828,0.775,0.702
handpd_spiral,resnet50,0.847,0.844,0.847,0.914,0.752,0.781,0.671,0.49
handpd_spiral,vgg16,0.914,0.889,0.902,0.933,0.719,0.794,0.716,0.499
pdraw_spiral,efficientnet_b0,0.786,0.807,0.774,0.925,0.736,0.702,0.224,0.377
pdraw_spiral,mobilenet_v3_large,0.723,0.745,0.795,0.92,0.721,0.859,0.626,0.339
pdraw_spiral,resnet50,0.75,0.74,0.73,0.877,0.705,0.725,0.754,0.462
pdraw_spiral,vgg16,0.672,0.603,0.745,0.896,0.588,0.779,0.633,0.531
pdraw_wave,efficientnet_b0,0.914,0.891,0.9,0.941,0.811,0.871,0.613,0.339
pdraw_wave,mobilenet_v3_large,0.844,0.759,0.887,0.952,0.732,0.849,0.663,0.324
pdraw_wave,resnet50,0.86,0.772,0.815,0.928,0.776,0.798,0.745,0.154
pdraw_wave,vgg16,0.804,0.761,0.795,0.886,0.667,0.813,0.641,0.282
